Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,17.82,21.98,23.60,31.27,40.45
Depreciation/Depletion,1.22,1.53,1.82,5.42,5.85
Non-Cash Items,3.72,4.03,7.84,6.41,3.71
Cash Taxes Paid,1.03,1.80,2.24,3.02,3.82
Changes in Working Capital,-110.37,-22.36,-74.04,-72.87,-37.13
Cash from Operating Activities,-87.61,5.27,-40.65,-29.74,13.04
Capital Expenditures,-13.00,-1.04,-0.87,-0.80,-0.56
"Other Investing Cash Flow Items, Total",-5.79,-9.84,0.25,0.22,-1.53
Cash from Investing Activities,-18.79,-10.88,-0.62,-0.58,-2.09
Total Cash Dividends Paid,-5.07,-5.76,-6.72,-1.18,-1.20
"Issuance (Retirement) of Stock, Net",0,-0.03,0.00,0,0
Cash from Financing Activities,101.43,3.84,47.10,26.42,-5.10
Foreign Exchange Effects,0,0,0,0,0
Net Change in Cash,-4.97,-1.78,5.84,-3.91,5.84
