Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,Interim Report,ARS,ARS,ARS
Cash,0,0,0,0,0
Short Term Investments,0,0,0,0,0
Cash and Short Term Investments,7.11,7.46,10.20,8.92,11.82
"Accounts Receivable - Trade, Net",221.80,241.91,246.52,266.91,303.52
"Total Receivables, Net",229.15,251.36,262.57,278.64,313.47
Prepaid Expenses,1.24,1.21,0.55,0.57,0.88
"Other Current Assets, Total",0.68,0.71,0.88,0.89,0.53
Total Current Assets,294.39,318.40,338.26,361.91,400.77
"Property/Plant/Equipment, Total - Gross",33.96,36.57,37.44,46.28,46.89
"Accumulated Depreciation, Total",-5.05,-6.59,-8.37,-10.13,-12.11
"Property/Plant/Equipment, Total - Net",28.91,29.98,29.07,36.14,34.78
"Goodwill, Net",0.41,0.41,0.00,0.00,0
"Intangibles, Net",0.04,0.17,0.04,0.47,0.32
Long Term Investments,9.61,14.56,16.50,19.51,24.08
Total Assets,393.88,422.07,493.36,557.69,591.10
Accounts Payable,0.17,0.09,0.21,0.19,0.35
Accrued Expenses,2.38,3.31,3.71,2.98,4.44
Notes Payable/Short Term Debt,6.82,9.22,6.23,8.51,5.52
"Other Current liabilities, Total",3.53,3.88,9.49,7.83,9.10
Total Current Liabilities,160.83,222.98,231.86,264.24,287.71
Total Long Term Debt,59.68,12.93,61.70,69.51,45.60
Total Debt,214.44,228.64,280.16,322.75,319.41
Deferred Income Tax,1.80,1.97,1.95,1.83,2.35
"Other Liabilities, Total",0.28,0.38,0.40,0.44,0.47
Total Liabilities,228.09,242.79,300.44,340.65,341.36
"Common Stock, Total",78.31,78.31,78.31,84.23,91.97
Retained Earnings (Accumulated Deficit),88.55,101.88,115.45,133.82,158.80
Treasury Stock - Common,0.00,-0.03,-0.03,-0.03,-0.03
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",-1.07,-0.88,-0.82,-0.99,-1.00
Total Equity,165.79,179.28,192.92,217.04,249.74
Total Liabilities & Shareholders' Equity,393.88,422.07,493.36,557.69,591.10
Total Common Shares Outstanding,538.22,538.12,538.12,560.23,587.16
"Tangible Book Value per Share, Common Eq",0.31,0.33,0.36,0.39,0.42
