Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,129.28,123.01,118.88,110.35,68.80
Total Revenue,129.28,123.01,118.88,110.35,68.80
"Selling/General/Admin. Expenses, Total",28.84,27.09,26.34,25.51,18.03
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),0.02,0.00,0.00,0.00,0.01
"Other Operating Expenses, Total",0,0,0,0.02,0.02
Total Operating Expense,89.28,84.93,83.47,78.48,62.09
Operating Income,40.00,38.07,35.41,31.87,6.71
"Interest Inc.(Exp.),Net-Non-Op., Total",-0.73,1.13,1.18,5.71,8.90
"Other, Net",6.37,6.88,5.43,5.71,0.42
Net Income Before Taxes,45.74,46.08,42.02,43.28,16.02
Provision for Income Taxes,17.33,16.01,14.58,14.84,6.44
Net Income After Taxes,28.41,30.08,27.44,28.45,9.58
Net Income Before Extra. Items,27.31,28.95,26.52,27.57,9.59
Net Income,27.31,28.95,26.52,27.57,9.59
Income Available to Com Excl ExtraOrd,27.31,28.95,26.52,27.57,9.59
Income Available to Com Incl ExtraOrd,27.31,28.95,26.52,27.57,9.59
Diluted Net Income,27.31,28.95,26.52,27.57,9.59
Diluted Weighted Average Shares,758.77,758.77,758.77,758.77,758.77
Diluted EPS Excluding ExtraOrd Items,0.04,0.04,0.03,0.04,0.01
DPS - Common Stock Primary Issue,0.03,0.02,0.02,0.01,0.02
Diluted Normalised EPS,0.04,0.04,0.03,0.04,0.01
