Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,12.49,14.95,11.23,28.11,12.18
Short Term Investments,1.13,1.37,1.02,1.37,0.00
Cash and Short Term Investments,13.62,16.31,12.25,29.48,12.18
"Accounts Receivable - Trade, Net",2.53,2.10,1.35,2.00,1.41
"Total Receivables, Net",3.28,3.45,2.56,2.83,1.84
Prepaid Expenses,0.96,0.81,0.93,0.71,0.55
"Other Current Assets, Total",48.10,79.04,130.52,131.50,147.79
Total Current Assets,66.44,100.05,146.66,164.91,162.76
"Property/Plant/Equipment, Total - Gross",310.72,306.68,297.32,291.12,304.94
"Accumulated Depreciation, Total",-131.00,-138.64,-143.17,-148.21,-164.12
"Property/Plant/Equipment, Total - Net",179.71,168.04,154.15,142.91,140.82
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0,0,0,0,0
Long Term Investments,227.94,212.45,193.49,179.51,180.42
Total Assets,479.62,485.68,498.96,491.58,488.16
Accounts Payable,3.94,2.27,2.48,3.61,5.11
Accrued Expenses,3.13,3.43,5.16,3.68,1.43
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",30.14,29.80,24.80,18.02,16.27
Total Current Liabilities,37.29,35.58,32.50,25.38,22.83
Total Long Term Debt,0.23,0.16,0.09,0.02,0.00
Total Debt,0.30,0.23,0.16,0.09,0.02
Deferred Income Tax,2.12,2.24,2.92,3.82,2.76
"Other Liabilities, Total",10.08,10.42,12.64,12.18,10.92
Total Liabilities,65.95,64.43,63.99,57.17,51.89
"Common Stock, Total",105.78,105.78,105.78,105.78,105.78
Retained Earnings (Accumulated Deficit),-110.87,-97.09,-70.57,-59.70,-72.88
Treasury Stock - Common,-1.50,-1.50,-1.50,-1.50,-1.50
Unrealised Gain (Loss),65.18,65.18,65.18,65.18,65.18
"Other Equity, Total",50.19,44.00,31.21,19.77,34.81
Total Equity,413.66,421.25,434.98,434.41,436.27
Total Liabilities & Shareholders' Equity,479.62,485.68,498.96,491.58,488.16
Total Common Shares Outstanding,758.77,758.77,758.77,758.77,758.77
"Tangible Book Value per Share, Common Eq",0.55,0.56,0.57,0.57,0.57
