Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,0,0,0,0,0
Short Term Investments,0,0,0,0,0
Cash and Short Term Investments,11.37,7.41,6.54,5.71,10.64
"Accounts Receivable - Trade, Net",0.55,0.79,0.84,2.00,1.25
"Total Receivables, Net",0.79,1.30,1.69,2.93,3.84
Prepaid Expenses,0.25,0.30,0.69,0.81,0.29
"Other Current Assets, Total",1.15,1.44,2.58,2.70,3.84
Total Current Assets,13.55,10.60,11.69,12.32,18.78
"Property/Plant/Equipment, Total - Gross",0,0,0,0,0
"Accumulated Depreciation, Total",0,0,0,0,0
"Property/Plant/Equipment, Total - Net",6.87,7.98,7.68,82.26,47.98
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0.00,0.00,0.58,0.01,0.00
Long Term Investments,0,0,1.03,0.98,0.92
Total Assets,24.57,22.76,25.69,102.60,72.28
Accounts Payable,0,0,0,0,0
Accrued Expenses,0,0,0,0,0
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",4.24,2.41,3.72,4.92,3.91
Total Current Liabilities,8.91,7.28,9.83,38.94,39.06
Total Long Term Debt,0.00,0.00,0.00,54.62,40.87
Total Debt,0.00,0.00,0.00,82.99,65.69
Deferred Income Tax,0,0.05,0.14,0.01,0.01
"Other Liabilities, Total",1.08,1.25,1.74,1.33,1.01
Total Liabilities,9.99,8.58,11.71,94.90,80.94
"Common Stock, Total",8.19,8.19,8.19,8.19,8.19
Retained Earnings (Accumulated Deficit),6.37,5.96,5.79,-0.53,-16.87
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",0.01,0.02,-0.00,0.03,0.02
Total Equity,14.58,14.18,13.98,7.69,-8.65
Total Liabilities & Shareholders' Equity,24.57,22.76,25.69,102.60,72.28
Total Common Shares Outstanding,231.52,231.52,231.52,231.52,231.52
"Tangible Book Value per Share, Common Eq",0.06,0.06,0.06,0.03,-0.04
