Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 Jan 2017,31 Jan 2018,31 Jan 2019,31 Jan 2020,31 Jan 2021
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,PROSPECTUS,PROSPECTUS,ARS,ARS,ARS
Revenue,29.78,27.54,31.59,34.21,24.72
Total Revenue,29.78,27.54,31.59,34.21,24.72
"Selling/General/Admin. Expenses, Total",4.06,3.90,4.82,6.63,5.45
Depreciation/Amortisation,2.09,2.48,2.49,2.51,2.36
Unusual Expense (Income),-0.10,-0.02,-0.14,-0.18,-0.40
"Other Operating Expenses, Total",2.58,2.96,6.09,4.00,3.15
Total Operating Expense,25.69,23.90,30.80,32.12,22.02
Operating Income,4.09,3.64,0.79,2.09,2.70
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0,0,0,0
"Other, Net",0,0,0,0,0
Net Income Before Taxes,4.09,3.64,0.79,2.09,2.70
Provision for Income Taxes,0.41,0.45,0.52,0.53,0.53
Net Income After Taxes,3.68,3.20,0.27,1.56,2.17
Net Income Before Extra. Items,3.68,3.20,0.27,1.56,2.17
Net Income,3.68,3.20,0.27,1.56,2.17
Income Available to Com Excl ExtraOrd,3.68,3.20,0.27,1.56,2.17
Income Available to Com Incl ExtraOrd,3.68,3.20,0.27,1.56,2.17
Diluted Net Income,3.68,3.20,0.27,1.56,2.17
Diluted Weighted Average Shares,112.00,112.00,112.00,129.13,131.00
Diluted EPS Excluding ExtraOrd Items,0.03,0.03,0.00,0.01,0.02
DPS - Common Stock Primary Issue,0,0,0,0.00,0.01
Diluted Normalised EPS,0.03,0.03,0.00,0.01,0.01
