Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,1715.76,1746.74,1832.71,173.50,138.20
Total Revenue,1715.76,1746.74,1832.71,173.50,138.20
"Selling/General/Admin. Expenses, Total",256.46,268.04,267.17,39.85,36.16
Depreciation/Amortisation,10.09,10.36,9.57,2.11,2.08
Unusual Expense (Income),-177.01,-7.77,-0.24,1.86,-0.04
"Other Operating Expenses, Total",32.20,21.35,21.44,5.04,-1.82
Total Operating Expense,1505.84,1689.27,1730.14,183.81,145.73
Operating Income,209.91,57.47,102.57,-10.31,-7.54
"Interest Inc.(Exp.),Net-Non-Op., Total",-146.42,-183.30,-151.16,-30.09,-41.58
"Other, Net",0,0,0,0,0
Net Income Before Taxes,63.50,-125.83,-48.59,-40.40,-49.11
Provision for Income Taxes,21.73,31.67,27.27,12.29,12.82
Net Income After Taxes,41.76,-157.51,-75.87,-52.69,-61.93
Net Income Before Extra. Items,72.16,-136.43,-73.75,-52.43,-59.06
Net Income,72.16,-136.43,-73.75,-221.98,-687.45
Income Available to Com Excl ExtraOrd,72.16,-136.43,-73.75,-52.43,-59.06
Income Available to Com Incl ExtraOrd,72.16,-136.43,-73.75,-221.98,-687.45
Diluted Net Income,72.16,-136.43,-73.75,-221.98,-687.45
Diluted Weighted Average Shares,5074.97,4867.72,5337.64,5344.83,5424.85
Diluted EPS Excluding ExtraOrd Items,0.01,-0.03,-0.01,-0.01,-0.01
DPS - Common Stock Primary Issue,0,0,0,0,0
Diluted Normalised EPS,-0.01,-0.03,-0.01,-0.01,-0.01
