Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Mar 2020,31 Mar 2021
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,-7.48,0.93,2.88,-3.85,-1.77
Depreciation/Depletion,2.10,1.18,1.21,1.34,1.23
Non-Cash Items,0.78,-1.20,0.41,1.69,2.17
Cash Taxes Paid,0.08,0.02,0.21,0.13,0.23
Changes in Working Capital,13.00,-3.18,-17.70,9.15,3.49
Cash from Operating Activities,8.40,-2.27,-13.20,8.73,5.51
Capital Expenditures,-0.77,-3.33,-0.60,-0.35,-0.50
"Other Investing Cash Flow Items, Total",0.02,-2.19,-1.71,0.02,1.77
Cash from Investing Activities,-0.75,-5.51,-2.30,-0.33,1.28
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",0,1.07,0.00,0,0
Cash from Financing Activities,0.89,4.81,11.72,-4.87,-7.74
Foreign Exchange Effects,-0.05,0.03,-0.03,0.01,0.00
Net Change in Cash,8.49,-2.94,-3.81,3.53,-0.94
