Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Mar 2020,31 Mar 2021
Source,ARS,Interim Report,ARS,ARS,ARS
Cash,0,6.88,4.38,7.37,0
Short Term Investments,0.03,3.39,1.93,1.52,9.26
Cash and Short Term Investments,11.37,10.27,6.30,8.89,16.95
"Accounts Receivable - Trade, Net",22.40,27.08,30.55,24.61,21.62
"Total Receivables, Net",22.40,27.08,30.55,28.99,27.87
Prepaid Expenses,0,0.29,0.42,0.12,0.04
"Other Current Assets, Total",7.93,7.88,8.35,8.40,8.48
Total Current Assets,56.32,60.50,65.80,55.47,68.52
"Property/Plant/Equipment, Total - Gross",0,20.34,27.45,28.51,25.06
"Accumulated Depreciation, Total",0,-19.44,-19.99,-21.05,-18.01
"Property/Plant/Equipment, Total - Net",1.59,0.90,7.46,7.47,7.06
"Goodwill, Net",0,0.00,0.00,0.00,0
"Intangibles, Net",3.26,2.63,2.17,1.77,1.38
Long Term Investments,8.48,10.45,11.39,11.36,0.05
Total Assets,69.65,74.48,86.82,76.07,77.01
Accounts Payable,0,0,0,0,0
Accrued Expenses,0,0,0,0,0
Notes Payable/Short Term Debt,0.00,0.44,2.67,1.21,0.37
"Other Current liabilities, Total",0.73,0.00,0.33,0.48,0.39
Total Current Liabilities,45.45,39.08,44.78,36.17,38.78
Total Long Term Debt,11.36,0.90,0.05,0.24,0.28
Total Debt,22.03,5.87,18.74,13.29,6.96
Deferred Income Tax,0,0,0.12,0.10,0.08
"Other Liabilities, Total",0,0,0,2.00,2.00
Total Liabilities,56.81,39.98,46.06,39.79,42.47
"Common Stock, Total",48.98,70.28,73.28,74.43,74.43
Retained Earnings (Accumulated Deficit),-35.41,-35.04,-31.78,-37.41,-39.15
Treasury Stock - Common,-0.74,-0.74,-0.74,-0.74,-0.74
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",0,0,0,0,0
Total Equity,12.83,34.50,40.76,36.28,34.54
Total Liabilities & Shareholders' Equity,69.65,74.48,86.82,76.07,77.01
Total Common Shares Outstanding,83.64,231.88,253.44,253.44,253.44
"Tangible Book Value per Share, Common Eq",0.11,0.14,0.15,0.14,0.13
