Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Mar 2020,31 Mar 2021
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,108.76,159.95,163.69,133.84,145.00
Total Revenue,108.76,159.95,163.69,133.84,145.00
"Selling/General/Admin. Expenses, Total",10.67,9.04,10.15,8.83,8.26
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),0.01,-0.11,-0.94,0.39,3.30
"Other Operating Expenses, Total",-0.43,-2.68,-0.21,-0.24,-0.19
Total Operating Expense,117.11,159.71,161.01,137.51,146.33
Operating Income,-8.36,0.24,2.68,-3.67,-1.34
"Interest Inc.(Exp.),Net-Non-Op., Total",0.87,0.70,0.66,0.09,-0.31
"Other, Net",0,0,0,0,0
Net Income Before Taxes,-7.48,0.94,3.34,-3.59,-1.65
Provision for Income Taxes,0.00,0.00,0.46,0.26,0.12
Net Income After Taxes,-7.48,0.93,2.88,-3.85,-1.77
Net Income Before Extra. Items,-7.48,0.93,2.71,-4.02,-1.81
Net Income,-7.48,0.93,2.71,-4.02,-1.81
Income Available to Com Excl ExtraOrd,-7.48,0.93,2.71,-4.02,-1.81
Income Available to Com Incl ExtraOrd,-7.48,0.93,2.71,-4.02,-1.81
Diluted Net Income,-7.48,0.93,2.71,-4.02,-1.81
Diluted Weighted Average Shares,83.29,157.22,308.89,253.44,253.44
Diluted EPS Excluding ExtraOrd Items,-0.09,0.01,0.01,-0.02,-0.01
DPS - Common Stock Primary Issue,0,0,0,0,0
Diluted Normalised EPS,-0.08,0.01,0.01,-0.01,0.00
