Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,PRESS
Revenue,136.98,36.88,29.85,14.40,34.27
Total Revenue,136.98,36.88,29.85,14.40,34.27
"Selling/General/Admin. Expenses, Total",23.55,46.32,49.56,38.12,26.77
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),0.03,5.17,-0.66,1.87,0.00
"Other Operating Expenses, Total",1.86,38.07,0.38,-1.47,-2.49
Total Operating Expense,131.76,127.59,95.89,68.05,62.46
Operating Income,5.21,-90.72,-66.04,-53.65,-28.18
"Interest Inc.(Exp.),Net-Non-Op., Total",-0.23,-0.10,-0.91,-1.41,-1.56
"Other, Net",0,-69.60,56.79,0,0
Net Income Before Taxes,4.99,-160.42,-10.16,-55.06,-29.74
Provision for Income Taxes,2.69,0.06,-1.34,0.51,0.00
Net Income After Taxes,2.29,-160.48,-8.82,-55.57,-29.74
Net Income Before Extra. Items,2.29,-160.48,-8.82,-55.57,-29.74
Net Income,2.29,-160.48,-8.82,-55.57,-29.74
Income Available to Com Excl ExtraOrd,2.29,-160.48,-8.82,-55.57,-29.74
Income Available to Com Incl ExtraOrd,2.29,-160.48,-8.82,-55.57,-29.74
Diluted Net Income,2.29,-160.48,-8.82,-55.57,-29.74
Diluted Weighted Average Shares,27.47,27.47,27.47,27.47,27.47
Diluted EPS Excluding ExtraOrd Items,0.08,-5.84,-0.32,-2.02,-1.08
DPS - Common Stock Primary Issue,0.12,0.00,0,0,0
Diluted Normalised EPS,0.08,-5.71,-0.34,-1.98,-1.08
