Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Jun 2016,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,51.43,33.13,37.69,49.86,37.48
Total Revenue,51.43,33.13,37.69,49.86,37.48
"Selling/General/Admin. Expenses, Total",9.16,8.74,8.63,9.51,9.59
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),-0.01,-0.01,0,0,-0.02
"Other Operating Expenses, Total",-0.06,-0.21,0.06,-0.14,-0.74
Total Operating Expense,51.72,33.94,37.74,47.16,41.66
Operating Income,-0.29,-0.81,-0.05,2.69,-4.18
"Interest Inc.(Exp.),Net-Non-Op., Total",0.29,0.22,0.25,0.21,-0.07
"Other, Net",0,0,0,0,0
Net Income Before Taxes,0.01,-0.59,0.20,2.90,-4.26
Provision for Income Taxes,-0.04,-0.32,0.17,0.51,-0.09
Net Income After Taxes,0.04,-0.27,0.03,2.40,-4.16
Net Income Before Extra. Items,0.04,-0.27,0.03,2.40,-4.16
Net Income,0.04,-0.27,0.03,2.40,-4.16
Income Available to Com Excl ExtraOrd,0.04,-0.27,0.03,2.40,-4.16
Income Available to Com Incl ExtraOrd,0.04,-0.27,0.03,2.40,-4.16
Diluted Net Income,0.04,-0.27,0.03,2.40,-4.16
Diluted Weighted Average Shares,222.00,222.00,222.00,222.00,222.00
Diluted EPS Excluding ExtraOrd Items,0.00,-0.00,0.00,0.01,-0.02
DPS - Common Stock Primary Issue,0.01,0.00,0.00,0.01,0.00
Diluted Normalised EPS,0.00,-0.00,0.00,0.01,-0.02
