Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,35.52,24.41,14.85,20.12,22.37
Depreciation/Depletion,4.46,3.33,3.31,14.73,11.53
Non-Cash Items,-13.96,-14.40,-2.05,-11.19,4.04
Cash Taxes Paid,2.81,0.51,0.44,0.73,1.16
Changes in Working Capital,-7.12,3.42,-3.01,4.28,-14.18
Cash from Operating Activities,18.89,16.76,13.09,27.95,23.75
Capital Expenditures,-8.25,-5.91,-2.75,-7.28,-7.26
"Other Investing Cash Flow Items, Total",-13.45,-2.55,-2.24,-2.01,49.02
Cash from Investing Activities,-21.69,-8.46,-4.99,-9.28,41.75
Total Cash Dividends Paid,-6.69,-11.15,-10.47,-6.44,-22.22
"Issuance (Retirement) of Stock, Net",-5.18,-1.46,-4.72,0.00,-1.53
Cash from Financing Activities,-17.98,-15.35,-20.21,-16.34,-43.99
Foreign Exchange Effects,0,0,0,0,0
Net Change in Cash,-20.79,-7.05,-12.12,2.33,21.52
