Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,0,0,0,0,0
Short Term Investments,0,0,0,0,0
Cash and Short Term Investments,44.09,37.04,24.92,27.25,48.77
"Accounts Receivable - Trade, Net",7.51,5.79,5.49,6.07,7.05
"Total Receivables, Net",20.02,11.46,12.50,83.25,14.06
Prepaid Expenses,2.78,1.87,1.84,1.91,2.06
"Other Current Assets, Total",5.91,4.51,4.93,5.57,5.31
Total Current Assets,80.42,61.33,51.14,125.01,86.28
"Property/Plant/Equipment, Total - Gross",47.70,41.92,43.17,99.29,104.26
"Accumulated Depreciation, Total",-20.32,-20.62,-22.75,-23.68,-25.86
"Property/Plant/Equipment, Total - Net",27.38,21.30,20.42,75.60,78.41
"Goodwill, Net",72.83,51.54,51.68,51.68,53.14
"Intangibles, Net",2.72,1.91,1.65,1.82,2.44
Long Term Investments,39.81,74.28,77.44,42.03,43.74
Total Assets,229.82,220.03,214.15,305.77,273.78
Accounts Payable,14.66,12.92,10.92,15.50,13.98
Accrued Expenses,0,0,0,0,0
Notes Payable/Short Term Debt,0.25,0.26,0.18,16.20,0.56
"Other Current liabilities, Total",6.32,4.62,3.21,12.61,5.19
Total Current Liabilities,36.49,78.01,14.57,70.89,30.25
Total Long Term Debt,69.27,26.39,86.19,109.79,117.60
Total Debt,84.78,86.86,86.63,152.57,128.67
Deferred Income Tax,1.40,1.12,1.07,1.37,1.16
"Other Liabilities, Total",0.62,0.64,0.64,0.60,0.85
Total Liabilities,115.14,107.12,103.50,183.80,152.70
"Common Stock, Total",86.76,86.76,86.76,86.76,86.76
Retained Earnings (Accumulated Deficit),35.07,34.39,37.94,49.48,46.96
Treasury Stock - Common,-5.80,-6.84,-11.56,-11.56,-10.90
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",-1.35,-1.41,-2.48,-2.70,-1.75
Total Equity,114.68,112.91,110.65,121.97,121.08
Total Liabilities & Shareholders' Equity,229.82,220.03,214.15,305.77,273.78
Total Common Shares Outstanding,796.56,794.87,785.62,785.62,787.31
"Tangible Book Value per Share, Common Eq",0.05,0.07,0.07,0.09,0.08
