Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Jun 2016,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,51.06,55.87,37.29,10.66,12.68
Short Term Investments,29.02,11.26,19.66,16.38,16.85
Cash and Short Term Investments,105.03,113.89,136.62,141.02,126.20
"Accounts Receivable - Trade, Net",53.46,56.68,51.11,4.13,1.88
"Total Receivables, Net",54.15,57.68,60.84,15.62,2.89
Prepaid Expenses,0.51,3.00,0.81,0.05,0.02
"Other Current Assets, Total",0.90,0.71,0.23,0.91,0.01
Total Current Assets,225.48,278.21,263.18,172.67,151.28
"Property/Plant/Equipment, Total - Gross",36.19,35.15,38.36,0.74,1.20
"Accumulated Depreciation, Total",-26.45,-26.33,-27.44,-0.13,-0.27
"Property/Plant/Equipment, Total - Net",9.74,8.83,10.92,0.61,0.94
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0.24,0.26,0.08,0.00,0
Long Term Investments,105.68,111.49,113.13,115.27,107.83
Total Assets,373.40,446.33,405.36,288.54,269.56
Accounts Payable,27.74,41.14,44.27,0.01,0.41
Accrued Expenses,27.45,67.93,31.65,14.46,19.01
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",6.96,11.49,11.20,4.22,5.47
Total Current Liabilities,70.15,128.28,94.75,18.74,24.88
Total Long Term Debt,0.00,0.00,0.00,0.00,0.00
Total Debt,8.00,7.72,7.63,0.05,0.00
Deferred Income Tax,2.32,1.98,1.39,0.41,0.15
"Other Liabilities, Total",0.26,0.27,0.46,0.16,0.32
Total Liabilities,92.62,150.93,120.07,19.31,25.35
"Common Stock, Total",151.19,150.86,150.86,150.86,150.86
Retained Earnings (Accumulated Deficit),132.33,143.74,136.19,122.25,103.35
Treasury Stock - Common,0,0,0,0,-0.41
Unrealised Gain (Loss),0.53,0.53,-0.28,0.00,-3.03
"Other Equity, Total",-3.27,0.27,-1.49,-3.87,-6.56
Total Equity,280.78,295.40,285.29,269.24,244.21
Total Liabilities & Shareholders' Equity,373.40,446.33,405.36,288.54,269.56
Total Common Shares Outstanding,930.03,928.27,928.27,928.27,925.28
"Tangible Book Value per Share, Common Eq",0.30,0.32,0.31,0.29,0.26
