Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,1.33,-16.86,-13.78,0.53,0.63
Depreciation/Depletion,2.20,1.83,2.33,0.04,0.31
Non-Cash Items,1.34,11.07,4.35,-7.35,-3.42
Cash Taxes Paid,-0.04,0.53,0.27,0.35,0.42
Changes in Working Capital,8.13,29.01,15.18,4.59,-3.92
Cash from Operating Activities,13.08,25.10,8.13,-2.19,-6.40
Capital Expenditures,-2.25,-1.41,-1.14,-0.14,-0.14
"Other Investing Cash Flow Items, Total",-10.35,10.54,0.08,7.02,-27.38
Cash from Investing Activities,-12.60,9.13,-1.06,6.88,-27.52
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",0,0,0,0,0
Cash from Financing Activities,2.08,1.53,1.57,1.23,1.99
Foreign Exchange Effects,0.01,0.00,0.01,0.00,0.01
Net Change in Cash,2.57,35.76,8.66,5.93,-31.92
