Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,0,0,0,0,0
Short Term Investments,0,0,0,0,0
Cash and Short Term Investments,30.61,66.36,75.02,80.95,49.02
"Accounts Receivable - Trade, Net",2.98,9.20,10.30,5.14,0.12
"Total Receivables, Net",6.90,12.11,12.85,13.03,14.74
Prepaid Expenses,0.36,0.36,0.27,0.00,0
"Other Current Assets, Total",10.50,0,0,0,0
Total Current Assets,97.26,120.60,122.14,105.80,75.46
"Property/Plant/Equipment, Total - Gross",0,0,0,0,0
"Accumulated Depreciation, Total",0,0,0,0,0
"Property/Plant/Equipment, Total - Net",17.63,5.94,1.72,14.35,14.19
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0.26,0.21,0,0,0
Long Term Investments,19.34,0.84,0,0,21.91
Total Assets,148.68,141.42,138.15,120.15,111.56
Accounts Payable,17.68,25.30,20.91,6.83,3.29
Accrued Expenses,0,0,0,0,0
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",11.46,14.06,27.94,23.99,18.81
Total Current Liabilities,29.14,39.36,48.84,30.82,22.10
Total Long Term Debt,0.00,0.00,0.00,0.00,0.00
Total Debt,0.00,0.00,0.00,0.00,0.00
Deferred Income Tax,0,0,0,0,0
"Other Liabilities, Total",0,0,0,0,0
Total Liabilities,29.14,39.36,48.84,30.82,22.10
"Common Stock, Total",162.71,162.71,162.71,162.71,162.71
Retained Earnings (Accumulated Deficit),-43.17,-60.65,-73.41,-73.38,-73.26
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",0,0,0,0,0
Total Equity,119.54,102.07,89.31,89.33,89.45
Total Liabilities & Shareholders' Equity,148.68,141.42,138.15,120.15,111.56
Total Common Shares Outstanding,62.76,62.76,62.76,62.76,62.76
"Tangible Book Value per Share, Common Eq",1.90,1.62,1.42,1.42,1.43
