Fiscal Year,2013,2014,2015,2016,2017
Period Ended,31 Dec 2013,31 Dec 2014,31 Dec 2015,31 Dec 2016,31 Dec 2017
Source,ARS,ARS,PRESS,ARS,ARS
Net Income/Starting Line,78.05,76.01,-108.77,-91.22,-17.71
Depreciation/Depletion,0.97,5.15,7.20,7.32,6.51
Non-Cash Items,8.33,16.39,157.96,131.20,-5.96
Cash Taxes Paid,2.25,10.05,5.52,0.69,0.00
Changes in Working Capital,-185.26,-232.02,-23.56,-72.73,16.81
Cash from Operating Activities,-97.91,-134.47,32.83,-25.43,-0.36
Capital Expenditures,-26.87,-2.79,-0.35,0,0
"Other Investing Cash Flow Items, Total",-2.45,0.00,0,0,0
Cash from Investing Activities,-29.32,-2.79,-0.35,0,0
Total Cash Dividends Paid,0.00,0,0,0,0
"Issuance (Retirement) of Stock, Net",159.19,0.00,48.37,0,0
Cash from Financing Activities,191.09,55.77,-30.64,15.45,0.00
Foreign Exchange Effects,-0.90,-0.02,-0.01,0.01,-0.00
Net Change in Cash,62.97,-81.51,1.82,-9.97,-0.36
