Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,135.75,181.82,220.24,221.29,233.47
Total Revenue,135.75,181.82,220.24,221.29,233.47
"Selling/General/Admin. Expenses, Total",39.43,61.95,71.77,74.67,64.66
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),2.23,0.18,0.01,0.00,-5.01
"Other Operating Expenses, Total",-2.55,-0.42,-1.46,-0.36,-0.68
Total Operating Expense,127.41,183.36,209.48,215.06,228.33
Operating Income,8.34,-1.54,10.76,6.23,5.14
"Interest Inc.(Exp.),Net-Non-Op., Total",-0.73,-0.74,-0.68,-1.50,-1.11
"Other, Net",0,0,0,0,0
Net Income Before Taxes,7.61,-2.28,10.08,4.74,4.03
Provision for Income Taxes,2.48,0.47,4.74,0.96,1.34
Net Income After Taxes,5.14,-2.75,5.34,3.78,2.70
Net Income Before Extra. Items,5.14,-2.75,5.34,3.78,2.70
Net Income,5.14,-2.75,5.34,3.78,2.70
Income Available to Com Excl ExtraOrd,5.14,-2.75,5.34,3.78,2.70
Income Available to Com Incl ExtraOrd,5.14,-2.75,5.34,3.78,2.70
Diluted Net Income,5.14,-2.75,5.34,3.78,2.70
Diluted Weighted Average Shares,242.65,280.12,282.63,290.91,293.12
Diluted EPS Excluding ExtraOrd Items,0.02,-0.01,0.02,0.01,0.01
DPS - Common Stock Primary Issue,0.00,0,0,0,0
Diluted Normalised EPS,0.03,-0.01,0.02,0.01,-0.00
