Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,612.32,629.32,863.53,768.26,405.02
Total Revenue,612.32,629.32,863.53,768.26,405.02
"Selling/General/Admin. Expenses, Total",74.70,72.80,37.29,67.93,51.84
Depreciation/Amortisation,0,0.17,0,0,0
Unusual Expense (Income),1.21,1.20,0,1.03,-2.11
"Other Operating Expenses, Total",-1.42,1.26,42.02,9.95,6.78
Total Operating Expense,599.73,620.94,852.06,737.89,400.08
Operating Income,12.59,8.38,11.47,30.37,4.94
"Interest Inc.(Exp.),Net-Non-Op., Total",-2.46,-0.33,-2.05,-3.84,-2.83
"Other, Net",-0.18,-0.34,-0.48,-0.35,-0.37
Net Income Before Taxes,9.95,7.72,8.94,26.18,1.73
Provision for Income Taxes,1.76,1.16,2.40,5.25,0.22
Net Income After Taxes,8.19,6.56,6.54,20.93,1.51
Net Income Before Extra. Items,6.65,5.79,6.07,20.51,1.04
Net Income,13.80,20.08,6.95,20.51,1.04
Income Available to Com Excl ExtraOrd,6.65,5.79,6.07,20.51,1.04
Income Available to Com Incl ExtraOrd,13.80,20.08,6.95,20.51,1.04
Diluted Net Income,13.80,20.08,6.95,20.51,1.04
Diluted Weighted Average Shares,606.59,701.15,700.90,700.98,701.77
Diluted EPS Excluding ExtraOrd Items,0.01,0.01,0.01,0.03,0.00
DPS - Common Stock Primary Issue,0.03,0.01,0.01,0.02,0.01
Diluted Normalised EPS,0.01,0.01,0.01,0.03,-0.00
