Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,18.12,13.21,10.63,12.20,12.86
Short Term Investments,19.87,15.91,18.22,17.28,14.53
Cash and Short Term Investments,37.99,29.12,28.85,29.47,27.38
"Accounts Receivable - Trade, Net",16.96,17.27,16.41,14.60,21.97
"Total Receivables, Net",17.23,17.55,16.72,14.93,22.39
Prepaid Expenses,0.94,1.46,1.11,0.84,0.71
"Other Current Assets, Total",1.36,0.93,1.51,0.60,0.48
Total Current Assets,67.66,56.47,55.33,51.32,57.36
"Property/Plant/Equipment, Total - Gross",24.93,28.08,28.09,34.09,32.63
"Accumulated Depreciation, Total",-10.86,-12.44,-13.45,-14.45,-15.30
"Property/Plant/Equipment, Total - Net",14.06,15.65,14.64,19.64,17.33
"Goodwill, Net",1.87,1.87,1.87,1.87,1.87
"Intangibles, Net",5.60,4.78,3.08,1.76,0.70
Long Term Investments,0,0,0,0,0
Total Assets,91.72,80.36,75.91,77.14,79.87
Accounts Payable,3.73,1.75,2.33,3.91,1.87
Accrued Expenses,5.28,4.44,4.91,3.85,3.70
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.28
"Other Current liabilities, Total",3.25,3.25,2.83,2.70,3.58
Total Current Liabilities,12.26,9.44,10.06,11.77,10.45
Total Long Term Debt,0.00,0.00,0.00,5.72,8.49
Total Debt,0.00,0.00,0.00,7.03,9.79
Deferred Income Tax,0,0,0,0,0
"Other Liabilities, Total",0.14,0.21,0.19,0.23,0.24
Total Liabilities,12.41,9.65,10.26,17.72,19.18
"Common Stock, Total",0.00,0.00,0.00,0.00,0.00
Retained Earnings (Accumulated Deficit),53.96,43.92,39.25,32.61,33.93
Treasury Stock - Common,-2.41,-3.06,-3.58,-3.58,-3.69
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",-1.92,-1.39,-2.21,-2.44,-2.70
Total Equity,79.31,70.72,65.66,59.42,60.69
Total Liabilities & Shareholders' Equity,91.72,80.36,75.91,77.14,79.87
Total Common Shares Outstanding,350.29,351.14,350.60,350.60,349.83
"Tangible Book Value per Share, Common Eq",0.21,0.18,0.17,0.16,0.17
