Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,-62.46,-26.81,67.69,20.66,-42.21
Depreciation/Depletion,0,0,0,0,0
Non-Cash Items,116.72,72.50,-20.80,25.06,78.69
Cash Taxes Paid,0,0,0,0,0
Changes in Working Capital,-5.58,5.05,-4.22,-6.46,3.65
Cash from Operating Activities,48.68,50.74,42.67,39.26,40.14
Capital Expenditures,0,0,0,0,0
"Other Investing Cash Flow Items, Total",52.80,-3.71,11.59,92.57,-14.98
Cash from Investing Activities,52.80,-3.71,11.59,92.57,-14.98
Total Cash Dividends Paid,-38.75,-35.38,-34.75,-30.12,-13.06
"Issuance (Retirement) of Stock, Net",0,80.16,0.00,0,0
Cash from Financing Activities,-102.71,-48.55,-54.73,-134.94,-19.74
Foreign Exchange Effects,0,0,0,0,0
Net Change in Cash,-1.23,-1.53,-0.47,-3.12,5.42
