Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,91.81,85.20,80.96,76.34,71.70
Total Revenue,91.81,85.20,80.96,76.34,71.70
"Selling/General/Admin. Expenses, Total",1.06,3.55,0.90,1.04,3.50
Depreciation/Amortisation,0.00,0,0,0,0
Unusual Expense (Income),0,0,0,0,0
"Other Operating Expenses, Total",0.03,-0.07,0.03,0.11,0.10
Total Operating Expense,62.62,56.39,49.07,46.49,48.87
Operating Income,29.19,28.80,31.89,29.85,22.84
"Interest Inc.(Exp.),Net-Non-Op., Total",-91.66,-55.61,35.79,-9.19,-65.05
"Other, Net",0,0,0,0,0
Net Income Before Taxes,-62.46,-26.81,67.69,20.66,-42.21
Provision for Income Taxes,0.00,0.00,0.00,0.00,0.00
Net Income After Taxes,-62.46,-26.81,67.69,20.66,-42.21
Net Income Before Extra. Items,-62.46,-26.81,67.69,20.66,-42.21
Net Income,-62.46,-26.81,67.69,20.66,-42.21
Income Available to Com Excl ExtraOrd,-62.46,-26.81,67.69,20.66,-42.21
Income Available to Com Incl ExtraOrd,-62.46,-26.81,67.69,20.66,-42.21
Diluted Net Income,-62.46,-26.81,67.69,20.66,-42.21
Diluted Weighted Average Shares,736.33,1032.47,1053.08,1053.08,1053.08
Diluted EPS Excluding ExtraOrd Items,-0.08,-0.03,0.06,0.02,-0.04
DPS - Common Stock Primary Issue,0.03,0.03,0.03,0.02,0.02
Diluted Normalised EPS,-0.08,-0.03,0.06,0.02,-0.04
