Fiscal Year,2011,2012,2013,2014,2015
Period Ended,31 Dec 2011,31 Dec 2012,31 Dec 2013,31 Dec 2014,31 Dec 2015
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,15.67,11.36,-0.88,5.91,-76.79
Depreciation/Depletion,7.07,8.08,6.65,12.03,18.62
Non-Cash Items,9.59,3.99,3.31,-1.11,66.99
Cash Taxes Paid,3.21,3.27,2.08,1.83,0.73
Changes in Working Capital,-1.87,-3.27,-2.96,-10.07,-8.15
Cash from Operating Activities,32.20,20.97,6.12,6.76,0.67
Capital Expenditures,-61.06,-29.94,-0.11,-39.94,-10.53
"Other Investing Cash Flow Items, Total",0.40,19.19,43.67,-44.91,0.39
Cash from Investing Activities,-60.66,-10.76,43.55,-84.85,-10.15
Total Cash Dividends Paid,-1.93,-1.93,-0.96,-0.40,0
"Issuance (Retirement) of Stock, Net",0,0,0,0,0
Cash from Financing Activities,-7.65,3.71,-0.96,-0.40,0
Foreign Exchange Effects,1.51,-2.19,6.23,0.35,0.22
Net Change in Cash,-34.59,11.74,54.94,-78.13,-9.25
