Fiscal Year,2011,2012,2013,2014,2015
Period Ended,31 Dec 2011,31 Dec 2012,31 Dec 2013,31 Dec 2014,31 Dec 2015
Source,ARS,ARS,ARS,ARS,ARS
Cash,31.22,27.51,45.57,19.76,10.51
Short Term Investments,0,0,52.33,0,0
Cash and Short Term Investments,31.22,27.51,97.89,19.76,10.51
"Accounts Receivable - Trade, Net",1.98,0,0,64.62,66.38
"Total Receivables, Net",85.23,0.29,12.21,64.62,66.38
Prepaid Expenses,0.32,0.08,0.05,0.02,0.02
"Other Current Assets, Total",0.13,101.58,0.05,0,0
Total Current Assets,116.89,129.46,110.21,84.40,76.91
"Property/Plant/Equipment, Total - Gross",101.88,77.03,60.90,0,0
"Accumulated Depreciation, Total",-21.11,-16.07,-16.48,0,0
"Property/Plant/Equipment, Total - Net",80.77,60.96,44.43,75.15,8.09
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",12.15,0,0,0,0
Long Term Investments,0,0,0.00,0.00,0
Total Assets,209.81,190.42,154.63,160.41,85.00
Accounts Payable,0,0,0,0,0
Accrued Expenses,5.95,4.49,4.72,0,0
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",14.17,14.32,2.98,6.86,5.01
Total Current Liabilities,20.11,18.81,7.70,6.86,5.01
Total Long Term Debt,0.00,0.00,0.00,0.00,0.00
Total Debt,0.00,0.00,0.00,0.00,0.00
Deferred Income Tax,5.08,2.59,2.49,3.04,3.00
"Other Liabilities, Total",0,0,0,0,0
Total Liabilities,59.06,54.83,13.34,13.08,8.02
"Common Stock, Total",68.08,68.08,68.08,68.08,68.08
Retained Earnings (Accumulated Deficit),79.70,71.28,67.94,79.25,8.90
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",2.97,-3.76,5.28,0,0
Total Equity,150.75,135.59,141.29,147.33,76.98
Total Liabilities & Shareholders' Equity,209.81,190.42,154.63,160.41,85.00
Total Common Shares Outstanding,20.07,20.07,20.07,20.07,20.07
"Tangible Book Value per Share, Common Eq",6.91,6.76,7.04,7.34,3.84
