Fiscal Year,2011,2012,2013,2014,2015
Period Ended,31 Dec 2011,31 Dec 2012,31 Dec 2013,31 Dec 2014,31 Dec 2015
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,26.00,21.89,16.22,19.74,11.37
Total Revenue,26.00,21.89,16.22,19.74,11.37
"Selling/General/Admin. Expenses, Total",3.41,3.48,2.84,2.57,13.15
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),0,0,0.00,0.00,2.34
"Other Operating Expenses, Total",0.32,-0.02,8.63,-1.09,64.72
Total Operating Expense,10.25,10.52,17.10,13.84,88.16
Operating Income,15.75,11.36,-0.88,5.91,-76.79
"Interest Inc.(Exp.),Net-Non-Op., Total",-0.08,0.00,0,0,0
"Other, Net",0,0,0,0,0
Net Income Before Taxes,15.67,11.36,-0.88,5.91,-76.79
Provision for Income Taxes,3.64,4.21,0.99,2.33,0.73
Net Income After Taxes,12.03,7.15,-1.87,3.58,-77.52
Net Income Before Extra. Items,12.08,7.27,-1.85,3.58,-77.52
Net Income,15.20,-6.49,-1.03,3.55,-77.88
Income Available to Com Excl ExtraOrd,12.08,7.27,-1.85,3.58,-77.52
Income Available to Com Incl ExtraOrd,15.20,-6.49,-1.03,3.55,-77.88
Diluted Net Income,15.20,-6.49,-1.03,3.55,-77.88
Diluted Weighted Average Shares,20.16,20.07,20.07,20.07,20.07
Diluted EPS Excluding ExtraOrd Items,0.60,0.36,-0.09,0.18,-3.86
DPS - Common Stock Primary Issue,0.10,0.10,0.02,0.00,0.00
Diluted Normalised EPS,0.70,0.46,0.17,0.18,-3.78
