Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Mar 2020,31 Mar 2021
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,65.47,67.85,68.08,68.41,51.00
Total Revenue,65.47,67.85,68.08,68.41,51.00
"Selling/General/Admin. Expenses, Total",49.84,50.69,52.82,53.52,47.11
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),0.01,0.00,0.00,0.00,0.00
"Other Operating Expenses, Total",0.65,0.57,0.84,1.68,-9.13
Total Operating Expense,60.37,61.32,64.09,66.67,46.71
Operating Income,5.10,6.52,3.99,1.74,4.30
"Interest Inc.(Exp.),Net-Non-Op., Total",0.61,0.47,0.13,-0.34,-0.06
"Other, Net",0,0,0,0,0
Net Income Before Taxes,5.70,7.00,4.12,1.40,4.24
Provision for Income Taxes,1.05,1.22,0.79,0.38,0.61
Net Income After Taxes,4.66,5.78,3.34,1.02,3.63
Net Income Before Extra. Items,4.66,5.78,3.34,1.02,3.63
Net Income,4.66,5.78,3.34,1.02,3.63
Income Available to Com Excl ExtraOrd,4.66,5.78,3.34,1.02,3.63
Income Available to Com Incl ExtraOrd,4.66,5.78,3.34,1.02,3.63
Diluted Net Income,4.66,5.78,3.34,1.02,3.63
Diluted Weighted Average Shares,174.02,173.51,173.75,173.91,173.93
Diluted EPS Excluding ExtraOrd Items,0.03,0.03,0.02,0.01,0.02
DPS - Common Stock Primary Issue,0.02,0.02,0.02,0.01,0.03
Diluted Normalised EPS,0.03,0.03,0.02,0.01,0.02
