Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Mar 2020,31 Mar 2021
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,PRESS
Revenue,115.38,105.66,102.44,94.45,75.59
Total Revenue,115.38,105.66,102.44,94.45,75.59
"Selling/General/Admin. Expenses, Total",17.71,13.60,11.71,9.93,9.27
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),-15.75,0.01,0.29,0.46,0
"Other Operating Expenses, Total",-1.43,-0.89,-1.78,-1.78,-6.84
Total Operating Expense,92.83,101.79,107.65,95.94,72.09
Operating Income,22.55,3.87,-5.21,-1.50,3.51
"Interest Inc.(Exp.),Net-Non-Op., Total",-4.01,-2.21,-2.93,-3.31,-2.74
"Other, Net",0,0,0,0,0
Net Income Before Taxes,18.54,1.66,-8.14,-4.81,0.77
Provision for Income Taxes,-0.20,0.15,0.48,0.02,-0.04
Net Income After Taxes,18.74,1.51,-8.63,-4.83,0.81
Net Income Before Extra. Items,18.74,1.51,-8.63,-4.83,0.81
Net Income,17.75,1.51,-9.61,-4.59,0.87
Income Available to Com Excl ExtraOrd,18.74,1.51,-8.63,-4.83,0.81
Income Available to Com Incl ExtraOrd,17.75,1.51,-9.61,-4.59,0.87
Diluted Net Income,17.75,1.51,-9.61,-4.59,0.87
Diluted Weighted Average Shares,907.12,1108.53,1184.81,1184.81,1184.81
Diluted EPS Excluding ExtraOrd Items,0.02,0.00,-0.01,-0.00,0.00
DPS - Common Stock Primary Issue,0,0,0,0,0
Diluted Normalised EPS,0.01,0.00,-0.01,-0.00,0.00
