Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Jul 2016,31 Jul 2017,31 Jul 2018,31 Jul 2019,31 Jul 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,31.87,39.52,81.18,38.36,33.89
Short Term Investments,0,0,0.00,8.80,4.81
Cash and Short Term Investments,31.87,39.52,81.18,47.16,38.69
"Accounts Receivable - Trade, Net",1.31,1.32,0.45,6.11,0.43
"Total Receivables, Net",1.31,1.32,0.45,6.11,0.43
Prepaid Expenses,0,0,0,0,0.11
"Other Current Assets, Total",6.53,8.31,0.38,0.00,0
Total Current Assets,40.76,49.94,82.50,53.27,39.24
"Property/Plant/Equipment, Total - Gross",0,0,0,0,0
"Accumulated Depreciation, Total",0,0,0,0,0
"Property/Plant/Equipment, Total - Net",14.03,2.73,2.24,43.82,44.54
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0,0,0,0,0
Long Term Investments,2.89,0.00,0.34,4.93,4.70
Total Assets,57.69,52.67,85.07,103.56,95.13
Accounts Payable,0,0,0,0,0
Accrued Expenses,0,0,0,0,0
Notes Payable/Short Term Debt,0.00,0.00,0.12,2.71,1.70
"Other Current liabilities, Total",6.34,0.00,1.55,0.99,0.99
Total Current Liabilities,9.35,2.38,3.67,4.99,4.10
Total Long Term Debt,0.00,0.00,0.00,20.68,20.74
Total Debt,0.00,0.00,0.12,23.39,22.64
Deferred Income Tax,1.08,0.37,0.24,0.04,0.00
"Other Liabilities, Total",0,0,0,0,0
Total Liabilities,10.43,2.75,3.91,25.71,24.84
"Common Stock, Total",32.99,32.99,32.99,32.99,32.99
Retained Earnings (Accumulated Deficit),14.27,16.93,48.17,44.86,37.30
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",0,0,0,0,0
Total Equity,47.26,49.92,81.17,77.85,70.29
Total Liabilities & Shareholders' Equity,57.69,52.67,85.07,103.56,95.13
Total Common Shares Outstanding,219.07,219.90,219.07,219.07,219.07
"Tangible Book Value per Share, Common Eq",0.22,0.23,0.37,0.36,0.32
