Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Jul 2016,31 Jul 2017,31 Jul 2018,31 Jul 2019,31 Jul 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,23.31,0.00,0.00,2.15,2.71
Total Revenue,23.31,0.00,0.00,2.15,2.71
"Selling/General/Admin. Expenses, Total",0,0,0.00,0.69,1.27
Depreciation/Amortisation,3.15,0.00,0.00,0.13,0.85
Unusual Expense (Income),0,0.00,0,0,1.94
"Other Operating Expenses, Total",4.59,-0.17,0.86,0.43,1.41
Total Operating Expense,22.92,0.60,1.69,2.61,7.32
Operating Income,0.39,-0.60,-1.69,-0.46,-4.61
"Interest Inc.(Exp.),Net-Non-Op., Total",-0.01,0.00,0.00,-0.25,-1.87
"Other, Net",0,0,0,0,0
Net Income Before Taxes,0.38,-0.60,42.87,-0.71,-6.48
Provision for Income Taxes,-0.47,-0.13,0.99,0.00,-0.73
Net Income After Taxes,0.86,-0.48,41.88,-0.71,-5.75
Net Income Before Extra. Items,0.86,-0.48,41.88,-0.71,-5.75
Net Income,0.91,3.03,34.48,0.20,-5.75
Income Available to Com Excl ExtraOrd,0.86,-0.48,41.88,-0.71,-5.75
Income Available to Com Incl ExtraOrd,0.91,3.03,34.48,0.20,-5.75
Diluted Net Income,0.91,3.03,34.48,0.20,-5.75
Diluted Weighted Average Shares,219.61,219.07,219.07,219.07,219.07
Diluted EPS Excluding ExtraOrd Items,0.00,-0.00,0.19,-0.00,-0.03
DPS - Common Stock Primary Issue,0.00,0.01,0.01,0.01,0.00
Diluted Normalised EPS,0.00,-0.00,0.06,-0.00,-0.02
