Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Jul 2016,31 Jul 2017,31 Jul 2018,31 Jul 2019,31 Jul 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,0.91,3.03,34.48,0.20,-5.75
Depreciation/Depletion,3.20,2.77,0,0.17,0.85
Non-Cash Items,-0.74,-6.61,-40.72,-1.63,2.35
Cash Taxes Paid,0.00,0.00,0.02,0.54,-0.34
Changes in Working Capital,0.32,0.08,1.04,-9.99,4.36
Cash from Operating Activities,3.69,-0.74,-5.19,-11.25,1.80
Capital Expenditures,-0.10,-0.02,-1.38,-46.18,-3.25
"Other Investing Cash Flow Items, Total",-2.03,8.84,51.33,-5.91,0.18
Cash from Investing Activities,-2.13,8.82,49.94,-52.08,-3.07
Total Cash Dividends Paid,-1.32,-0.66,-3.29,-2.19,-1.10
"Issuance (Retirement) of Stock, Net",-0.18,0.00,0.00,0,0
Cash from Financing Activities,-1.65,-0.65,-3.28,20.63,-3.21
Foreign Exchange Effects,-0.01,0.00,0.06,0.00,0.00
Net Change in Cash,-0.10,7.44,41.54,-42.70,-4.48
