Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Mar 2020,31 Mar 2021
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,PRESS
Revenue,148.53,191.26,154.42,114.93,132.98
Total Revenue,148.53,191.26,154.42,114.93,132.98
"Selling/General/Admin. Expenses, Total",48.55,48.17,48.50,49.16,51.23
Depreciation/Amortisation,1.55,1.11,1.71,1.71,0
Unusual Expense (Income),0.91,-1.11,115.92,0.98,-0.18
"Other Operating Expenses, Total",1.85,4.69,4.99,-3.04,0.12
Total Operating Expense,182.39,211.25,301.66,135.79,148.85
Operating Income,-33.86,-19.99,-147.24,-20.87,-15.88
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0,0,0,0
"Other, Net",0,0,0,0,0
Net Income Before Taxes,-33.86,-19.99,-147.24,-20.87,-15.88
Provision for Income Taxes,-8.72,-0.16,3.13,16.46,0.70
Net Income After Taxes,-25.14,-19.83,-150.37,-37.32,-16.58
Net Income Before Extra. Items,-25.14,-19.83,-150.37,-37.32,-16.58
Net Income,1.02,-19.83,-150.37,-37.32,-16.58
Income Available to Com Excl ExtraOrd,-25.14,-19.83,-150.37,-37.32,-16.58
Income Available to Com Incl ExtraOrd,1.02,-19.83,-150.37,-37.32,-16.58
Diluted Net Income,1.02,-19.83,-150.37,-37.32,-16.58
Diluted Weighted Average Shares,46.80,46.80,46.80,46.80,46.80
Diluted EPS Excluding ExtraOrd Items,-0.54,-0.42,-3.21,-0.80,-0.35
DPS - Common Stock Primary Issue,0,0,0,0,0
Diluted Normalised EPS,-0.52,-0.44,-1.60,-0.78,-0.36
