Fiscal Year,2013,2014,2015,2016,2017
Period Ended,30 Sep 2013,30 Sep 2014,30 Sep 2015,30 Sep 2016,31 Dec 2017
Source,ARS,ARS,ARS,ARS,ARS
Cash,0,0,0,0,0
Short Term Investments,0,0,0,0,0
Cash and Short Term Investments,3.92,5.50,6.07,3.93,1.64
"Accounts Receivable - Trade, Net",8.91,8.58,10.84,10.76,2.31
"Total Receivables, Net",9.46,9.06,12.99,18.65,5.47
Prepaid Expenses,1.17,2.04,2.00,1.92,2.72
"Other Current Assets, Total",3.36,3.51,2.97,2.07,1.96
Total Current Assets,24.24,25.92,29.04,30.77,13.37
"Property/Plant/Equipment, Total - Gross",10.48,10.81,0,0,0
"Accumulated Depreciation, Total",-3.41,-4.42,0,0,0
"Property/Plant/Equipment, Total - Net",7.07,6.39,5.93,4.88,1.46
"Goodwill, Net",1.61,1.61,0,0,0
"Intangibles, Net",5.91,6.07,8.13,7.75,11.09
Long Term Investments,0.10,0.09,0.09,0.09,0.00
Total Assets,39.08,40.31,43.19,43.49,25.93
Accounts Payable,4.62,2.80,3.49,5.26,9.26
Accrued Expenses,2.61,3.09,0,0,0
Notes Payable/Short Term Debt,0.50,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",6.00,6.07,10.37,12.24,14.72
Total Current Liabilities,14.98,12.58,14.78,18.46,24.36
Total Long Term Debt,1.54,1.04,1.64,0.67,0.16
Total Debt,3.30,1.67,2.56,1.64,0.55
Deferred Income Tax,0.01,0.00,0.00,0.00,0.00
"Other Liabilities, Total",0,0,0,0,0
Total Liabilities,19.67,15.92,18.63,20.45,20.81
"Common Stock, Total",32.06,46.53,56.11,64.06,72.79
Retained Earnings (Accumulated Deficit),-6.96,-16.60,-27.41,-35.35,-62.37
Treasury Stock - Common,-3.12,-3.12,-3.12,-4.13,-4.20
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",-2.56,-2.42,-1.01,-1.54,-1.11
Total Equity,19.42,24.39,24.57,23.04,5.12
Total Liabilities & Shareholders' Equity,39.08,40.31,43.19,43.49,25.93
Total Common Shares Outstanding,232.41,310.58,350.58,392.09,422.00
"Tangible Book Value per Share, Common Eq",0.05,0.05,0.05,0.04,-0.01
