Fiscal Year,2013,2014,2015,2016,2017
Period Ended,30 Sep 2013,30 Sep 2014,30 Sep 2015,30 Sep 2016,31 Dec 2017
Period Length,12 Months,12 Months,12 Months,12 Months,15 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,86.25,90.01,88.18,97.65,168.62
Total Revenue,86.25,90.01,88.18,97.65,168.62
"Selling/General/Admin. Expenses, Total",13.46,17.45,10.20,10.72,15.75
Depreciation/Amortisation,2.08,2.26,2.24,2.39,6.37
Unusual Expense (Income),0.19,0.02,0.00,0.96,3.91
"Other Operating Expenses, Total",8.46,7.97,13.04,7.30,20.90
Total Operating Expense,92.56,100.53,99.41,106.45,203.09
Operating Income,-6.31,-10.52,-11.23,-8.80,-34.47
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0,0,0,0
"Other, Net",0,0,0,0,0
Net Income Before Taxes,-6.31,-10.52,-11.23,-8.80,-34.47
Provision for Income Taxes,-0.03,-0.03,0.29,0.03,0.08
Net Income After Taxes,-6.29,-10.49,-11.52,-8.83,-34.55
Net Income Before Extra. Items,-5.74,-9.65,-10.82,-7.95,-29.52
Net Income,-5.74,-9.65,-10.82,-7.95,-29.52
Income Available to Com Excl ExtraOrd,-5.74,-9.65,-10.82,-7.95,-29.52
Income Available to Com Incl ExtraOrd,-5.74,-9.65,-10.82,-7.95,-29.52
Diluted Net Income,-5.74,-9.65,-10.82,-7.95,-29.52
Diluted Weighted Average Shares,242.76,286.81,329.76,345.03,429.89
Diluted EPS Excluding ExtraOrd Items,-0.02,-0.03,-0.03,-0.02,-0.07
DPS - Common Stock Primary Issue,0,0.00,0,0,0.00
Diluted Normalised EPS,-0.02,-0.03,-0.03,-0.02,-0.06
