Fiscal Year,2013,2014,2015,2016,2017
Period Ended,30 Sep 2013,30 Sep 2014,30 Sep 2015,30 Sep 2016,31 Dec 2017
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,-6.31,-10.52,-11.23,-8.80,-34.47
Depreciation/Depletion,1.09,1.08,0.93,1.03,1.35
Non-Cash Items,0.69,0.71,1.07,1.34,11.07
Cash Taxes Paid,0.15,0.04,0.05,0.04,0.05
Changes in Working Capital,1.78,-1.97,0.43,-1.93,9.44
Cash from Operating Activities,-1.76,-9.52,-7.49,-7.00,-7.59
Capital Expenditures,-0.20,-0.41,-0.46,-0.42,-0.66
"Other Investing Cash Flow Items, Total",0.45,-1.32,-1.45,-1.62,-4.80
Cash from Investing Activities,0.24,-1.73,-1.92,-2.04,-5.45
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",0.00,14.47,9.58,6.95,9.16
Cash from Financing Activities,0.78,12.84,9.95,6.94,10.65
Foreign Exchange Effects,0.01,-0.01,0.03,-0.04,0.09
Net Change in Cash,-0.72,1.58,0.57,-2.14,-2.30
