Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,-1.16,-0.25,3.18,6.92,1.03
Depreciation/Depletion,3.70,5.52,5.93,6.46,6.06
Non-Cash Items,1.10,0.47,3.28,2.11,7.99
Cash Taxes Paid,0.30,0.03,0,0,0
Changes in Working Capital,-4.85,-1.58,-2.38,1.72,-4.41
Cash from Operating Activities,-0.23,4.92,10.13,17.33,10.88
Capital Expenditures,-18.96,-9.99,-3.48,-0.97,-2.15
"Other Investing Cash Flow Items, Total",0.22,-1.59,-3.72,0.47,0.66
Cash from Investing Activities,-18.74,-11.58,-7.20,-0.50,-1.49
Total Cash Dividends Paid,0.00,-0.44,0.00,0,0
"Issuance (Retirement) of Stock, Net",8.10,0.03,2.59,1.42,0.00
Cash from Financing Activities,23.82,4.87,-4.62,-9.42,-5.39
Foreign Exchange Effects,0.00,0.00,0.00,0,0.01
Net Change in Cash,4.85,-1.79,-1.69,7.40,4.01
