Fiscal Year,2015,2016,2017,2018,2019
Period Ended,31 Dec 2015,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019
Source,ARS,ARS,ARS,ARS,PRESS
Net Income/Starting Line,6.60,1.86,1.94,-3.37,-43.47
Depreciation/Depletion,1.15,2.31,1.87,2.48,1.36
Non-Cash Items,1.28,3.71,0.96,6.49,24.36
Cash Taxes Paid,0.01,0.72,-0.51,0.16,0.06
Changes in Working Capital,-12.88,-4.71,-2.30,-13.38,27.24
Cash from Operating Activities,-3.85,3.17,2.47,-7.79,9.49
Capital Expenditures,-10.77,-2.25,-2.07,-0.89,-0.03
"Other Investing Cash Flow Items, Total",-0.21,0.05,0.96,1.52,0.00
Cash from Investing Activities,-10.98,-2.20,-1.10,0.63,-0.03
Total Cash Dividends Paid,-1.43,-0.82,0,0,0
"Issuance (Retirement) of Stock, Net",-0.26,0.00,0,0,0
Cash from Financing Activities,10.65,-4.21,-0.19,-1.51,-5.81
Foreign Exchange Effects,0,0,0,0,0
Net Change in Cash,-4.18,-3.24,1.17,-8.67,3.65
