Fiscal Year,2015,2016,2017,2018,2019
Period Ended,31 Dec 2015,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019
Source,ARS,ARS,Interim Report,Interim Report,PRESS
Cash,6.70,3.40,4.14,2.28,-0.87
Short Term Investments,0,0,0,0,0
Cash and Short Term Investments,6.70,3.40,4.14,2.28,-0.87
"Accounts Receivable - Trade, Net",43.24,40.91,43.51,66.68,21.06
"Total Receivables, Net",43.24,41.46,43.52,66.69,21.06
Prepaid Expenses,0.33,0.40,0.65,0.80,0.25
"Other Current Assets, Total",1.00,0.94,0.00,8.52,2.35
Total Current Assets,54.69,49.33,51.01,84.43,22.78
"Property/Plant/Equipment, Total - Gross",0,0,0,0,0
"Accumulated Depreciation, Total",0,0,0,0,0
"Property/Plant/Equipment, Total - Net",29.62,37.01,37.63,36.85,32.38
"Goodwill, Net",0.88,0.98,0.98,10.54,0.00
"Intangibles, Net",0,0,0,0,0
Long Term Investments,0,0,0,0.00,0.00
Total Assets,85.56,87.36,89.98,131.82,55.16
Accounts Payable,17.94,14.13,16.00,29.24,10.33
Accrued Expenses,0,0,0,0,0
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0
"Other Current liabilities, Total",6.29,6.62,5.82,9.77,29.14
Total Current Liabilities,45.96,43.40,52.87,76.35,64.09
Total Long Term Debt,16.24,19.48,10.57,18.54,0.00
Total Debt,37.96,42.13,41.62,55.87,24.62
Deferred Income Tax,0,0.14,0.14,0.44,0.09
"Other Liabilities, Total",0,0,0,0,0
Total Liabilities,62.20,63.03,63.58,97.08,64.18
"Common Stock, Total",18.39,18.39,18.77,31.17,31.17
Retained Earnings (Accumulated Deficit),5.29,6.28,7.99,4.00,-39.77
Treasury Stock - Common,-0.26,-0.26,-0.26,-0.26,-0.26
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",-0.08,-0.09,-0.10,-0.17,-0.17
Total Equity,23.35,24.33,26.40,34.74,-9.03
Total Liabilities & Shareholders' Equity,85.56,87.36,89.98,131.82,55.16
Total Common Shares Outstanding,117.50,117.50,119.54,213.29,213.29
"Tangible Book Value per Share, Common Eq",0.19,0.20,0.21,0.11,-0.04
