Fiscal Year,2015,2016,2017,2018,2019
Period Ended,31 Dec 2015,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,PRESS
Revenue,90.21,80.87,70.46,104.27,37.19
Total Revenue,90.21,80.87,70.46,104.27,37.19
"Selling/General/Admin. Expenses, Total",10.63,13.98,11.79,17.61,21.25
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),-0.04,0,0.00,1.10,0.00
"Other Operating Expenses, Total",-1.17,-1.95,-2.45,-3.26,-2.72
Total Operating Expense,83.60,79.01,68.52,107.64,62.95
Operating Income,6.60,1.86,1.94,-3.37,-25.76
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0,0,0,0
"Other, Net",0,0,0,0,0
Net Income Before Taxes,6.60,1.86,1.94,-3.37,-25.76
Provision for Income Taxes,0.32,0.05,0.37,0.99,0.09
Net Income After Taxes,6.28,1.81,1.57,-4.36,-25.85
Net Income Before Extra. Items,6.28,1.81,1.57,-3.46,-25.85
Net Income,6.28,1.81,1.57,-3.46,-43.24
Income Available to Com Excl ExtraOrd,6.28,1.81,1.57,-3.46,-25.85
Income Available to Com Incl ExtraOrd,6.28,1.81,1.57,-3.46,-43.24
Diluted Net Income,6.28,1.81,1.57,-3.46,-43.24
Diluted Weighted Average Shares,117.97,117.50,118.72,190.69,213.29
Diluted EPS Excluding ExtraOrd Items,0.05,0.02,0.01,-0.02,-0.12
DPS - Common Stock Primary Issue,0.01,0,0,0,0
Diluted Normalised EPS,0.05,0.02,0.01,-0.01,-0.12
