Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,5.33,7.49,10.69,9.31,20.96
Depreciation/Depletion,1.58,1.37,1.67,8.04,9.06
Non-Cash Items,1.43,2.56,1.90,3.59,6.96
Cash Taxes Paid,0.68,0.47,1.08,1.73,2.34
Changes in Working Capital,-4.20,-1.08,-0.56,-6.71,-2.21
Cash from Operating Activities,5.63,13.22,17.62,19.38,41.56
Capital Expenditures,-6.71,-7.14,-9.44,-12.11,-12.22
"Other Investing Cash Flow Items, Total",-0.13,12.31,-9.52,3.77,1.72
Cash from Investing Activities,-6.83,5.17,-18.96,-8.34,-10.50
Total Cash Dividends Paid,-7.31,-7.54,-8.39,-8.46,-8.68
"Issuance (Retirement) of Stock, Net",-0.93,0.85,0.27,0.21,0.32
Cash from Financing Activities,-5.83,-6.62,29.14,-47.40,-19.18
Foreign Exchange Effects,-0.03,-0.74,-0.01,-0.13,-0.25
Net Change in Cash,-7.06,11.03,27.80,-36.49,11.63
