Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,20.97,30.88,60.66,24.19,31.61
Short Term Investments,32.13,22.41,24.12,19.14,16.84
Cash and Short Term Investments,54.59,55.91,85.42,43.95,53.28
"Accounts Receivable - Trade, Net",20.16,30.99,34.50,52.98,131.34
"Total Receivables, Net",21.30,31.73,35.26,53.82,132.37
Prepaid Expenses,1.66,1.32,1.26,1.76,1.81
"Other Current Assets, Total",2.87,5.50,5.71,5.18,7.14
Total Current Assets,80.42,94.45,127.65,104.71,194.60
"Property/Plant/Equipment, Total - Gross",9.46,10.53,11.95,34.41,48.06
"Accumulated Depreciation, Total",-7.27,-8.22,-8.69,-16.33,-25.24
"Property/Plant/Equipment, Total - Net",2.19,2.31,3.25,18.08,22.82
"Goodwill, Net",0,0.34,0.35,0.35,0.34
"Intangibles, Net",10.39,13.29,17.52,21.88,25.17
Long Term Investments,1.83,5.46,8.01,10.70,9.93
Total Assets,95.13,116.73,157.98,157.17,254.28
Accounts Payable,1.68,1.86,2.21,3.33,4.29
Accrued Expenses,13.50,22.12,18.43,17.03,26.73
Notes Payable/Short Term Debt,0.00,0.00,37.35,3.81,0.00
"Other Current liabilities, Total",0.85,10.29,13.04,26.32,98.03
Total Current Liabilities,16.03,34.27,71.03,54.85,136.25
Total Long Term Debt,0.02,0.01,0.01,10.75,12.01
Total Debt,0.02,0.02,37.37,18.93,19.22
Deferred Income Tax,0.48,1.20,1.59,1.93,2.62
"Other Liabilities, Total",0,0,0,0,0
Total Liabilities,16.68,35.50,72.42,67.11,150.17
"Common Stock, Total",64.15,65.54,65.97,66.18,66.98
Retained Earnings (Accumulated Deficit),17.35,20.14,23.67,26.66,42.29
Treasury Stock - Common,-2.53,-2.54,-1.40,-0.20,-0.36
Unrealised Gain (Loss),0.01,-0.43,-1.44,-1.13,-2.87
"Other Equity, Total",-0.54,-1.48,-1.23,-1.45,-1.93
Total Equity,78.45,81.24,85.56,90.06,104.11
Total Liabilities & Shareholders' Equity,95.13,116.73,157.98,157.17,254.28
Total Common Shares Outstanding,262.22,264.67,266.78,268.73,272.41
"Tangible Book Value per Share, Common Eq",0.26,0.26,0.25,0.25,0.29
