Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Jun 2016,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,544.53,263.20,360.43,322.62,371.03
Total Revenue,544.53,263.20,360.43,322.62,371.03
"Selling/General/Admin. Expenses, Total",175.93,154.65,152.08,150.31,135.20
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),2.95,2.83,-19.89,2.05,5.15
"Other Operating Expenses, Total",-4.74,-3.23,-0.54,-4.88,-6.94
Total Operating Expense,517.02,274.99,290.48,297.99,326.05
Operating Income,27.52,-11.79,69.95,24.63,44.97
"Interest Inc.(Exp.),Net-Non-Op., Total",13.86,31.47,176.00,21.65,-24.52
"Other, Net",0,0,-0.06,0.00,6.37
Net Income Before Taxes,41.37,19.68,245.90,46.28,26.83
Provision for Income Taxes,25.71,-6.72,18.58,-2.48,11.12
Net Income After Taxes,15.66,26.40,227.32,48.76,15.71
Net Income Before Extra. Items,7.08,20.12,225.17,46.77,15.97
Net Income,7.08,20.12,225.17,46.77,15.97
Income Available to Com Excl ExtraOrd,7.08,20.07,225.17,46.77,3.10
Income Available to Com Incl ExtraOrd,7.08,20.07,225.17,46.77,3.10
Diluted Net Income,7.08,19.74,225.17,46.77,3.10
Diluted Weighted Average Shares,779.53,775.46,799.03,901.18,770.82
Diluted EPS Excluding ExtraOrd Items,0.01,0.03,0.28,0.05,0.00
DPS - Common Stock Primary Issue,0.03,0.03,0.03,0.03,0.03
Diluted Normalised EPS,0.01,0.03,0.26,0.05,0.01
