Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,Interim Report,ARS,ARS,ARS
Cash,0,0,0,0,0
Short Term Investments,0,0,0,0,0
Cash and Short Term Investments,32.33,40.29,39.23,43.20,57.51
"Accounts Receivable - Trade, Net",27.10,24.29,22.85,22.86,21.39
"Total Receivables, Net",27.10,24.29,23.02,23.61,21.90
Prepaid Expenses,0,1.45,0.77,0.64,0.35
"Other Current Assets, Total",5.09,19.73,18.94,17.78,9.10
Total Current Assets,72.41,99.04,92.04,97.28,100.06
"Property/Plant/Equipment, Total - Gross",0,58.80,67.83,77.13,86.48
"Accumulated Depreciation, Total",0,-36.08,-37.56,-42.94,-48.40
"Property/Plant/Equipment, Total - Net",17.06,22.72,30.27,34.19,38.08
"Goodwill, Net",22.45,29.55,29.55,29.55,29.55
"Intangibles, Net",0,0,0,0.67,0.36
Long Term Investments,0,0,0,0,0
Total Assets,111.93,151.31,151.86,161.84,168.05
Accounts Payable,0,0,0,0,0
Accrued Expenses,0,0,0,0,0
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",3.27,14.17,9.57,7.49,3.68
Total Current Liabilities,37.30,57.92,58.05,63.04,67.03
Total Long Term Debt,6.85,7.97,5.82,7.22,9.21
Total Debt,28.09,34.93,40.80,45.11,49.56
Deferred Income Tax,0.98,3.10,3.01,3.17,2.86
"Other Liabilities, Total",0,5.70,3.99,2.51,0.12
Total Liabilities,45.12,74.70,70.87,75.94,79.21
"Common Stock, Total",22.44,22.44,22.44,22.44,22.44
Retained Earnings (Accumulated Deficit),45.64,55.20,60.03,65.44,68.56
Treasury Stock - Common,-1.28,-1.30,-1.57,-1.74,-2.37
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",0,0.28,0.09,-0.25,0.21
Total Equity,66.80,76.61,80.99,85.90,88.84
Total Liabilities & Shareholders' Equity,111.93,151.31,151.86,161.84,168.05
Total Common Shares Outstanding,393.18,393.11,392.52,391.90,388.90
"Tangible Book Value per Share, Common Eq",0.11,0.12,0.13,0.14,0.15
