Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,81.92,91.54,91.69,84.63,80.79
Total Revenue,81.92,91.54,91.69,84.63,80.79
"Selling/General/Admin. Expenses, Total",9.43,10.13,11.71,11.22,11.37
Depreciation/Amortisation,1.46,1.58,1.31,1.56,3.05
Unusual Expense (Income),-0.09,0.08,-0.48,-0.12,0.22
"Other Operating Expenses, Total",-0.81,-0.89,-3.12,-2.25,-3.07
Total Operating Expense,67.24,74.80,79.54,75.45,74.90
Operating Income,14.68,16.73,12.16,9.18,5.90
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0,0,0,0
"Other, Net",0,0,0,0,0
Net Income Before Taxes,14.68,16.73,12.16,9.18,5.90
Provision for Income Taxes,1.99,1.47,0.83,0.70,0.42
Net Income After Taxes,12.68,15.27,11.33,8.48,5.48
Net Income Before Extra. Items,12.75,15.27,11.33,8.48,5.48
Net Income,12.75,15.27,11.33,8.48,5.48
Income Available to Com Excl ExtraOrd,12.75,15.27,11.33,8.48,5.48
Income Available to Com Incl ExtraOrd,12.75,15.27,11.33,8.48,5.48
Diluted Net Income,12.75,15.27,11.33,8.48,5.48
Diluted Weighted Average Shares,393.97,393.14,392.97,392.15,390.30
Diluted EPS Excluding ExtraOrd Items,0.03,0.04,0.03,0.02,0.01
DPS - Common Stock Primary Issue,0.01,0.02,0.01,0.01,0.01
Diluted Normalised EPS,0.03,0.04,0.03,0.02,0.01
