Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,14.68,16.73,12.16,9.18,5.90
Depreciation/Depletion,2.79,2.92,2.77,3.21,5.01
Non-Cash Items,0.41,1.78,0.21,1.00,1.75
Cash Taxes Paid,1.38,1.89,1.33,0.87,1.62
Changes in Working Capital,-4.65,-6.40,-6.10,2.77,5.01
Cash from Operating Activities,13.22,15.03,9.04,16.21,17.97
Capital Expenditures,-1.20,-2.08,-10.39,-3.18,-0.88
"Other Investing Cash Flow Items, Total",-5.14,9.47,6.35,0.73,0.25
Cash from Investing Activities,-6.35,7.40,-4.04,-2.45,-0.62
Total Cash Dividends Paid,-4.68,-5.44,-6.49,-3.07,-2.36
"Issuance (Retirement) of Stock, Net",-0.42,-0.02,-0.26,-0.17,-0.64
Cash from Financing Activities,-10.37,-13.62,-6.45,-9.47,-2.46
Foreign Exchange Effects,0.25,-0.84,0.39,-0.32,-0.58
Net Change in Cash,-3.24,7.97,-1.06,3.97,14.31
