Fiscal Year,2017,2018,2019,2020,2021
Period Ended,30 Apr 2017,30 Apr 2018,30 Apr 2019,30 Apr 2020,30 Apr 2021
Source,ARS,ARS,ARS,ARS,PRESS
Cash,36.10,0,0,0,0
Short Term Investments,132.37,47.24,59.08,42.16,26.24
Cash and Short Term Investments,168.48,117.79,103.27,104.07,81.06
"Accounts Receivable - Trade, Net",48.43,135.16,103.08,88.67,70.68
"Total Receivables, Net",229.03,135.16,103.08,88.67,70.68
Prepaid Expenses,3.46,0,0,0,0
"Other Current Assets, Total",1.37,0.00,141.55,0.00,11.55
Total Current Assets,491.30,373.87,348.30,193.23,163.52
"Property/Plant/Equipment, Total - Gross",327.52,0,0.00,0,0
"Accumulated Depreciation, Total",-56.85,0,0,0,0
"Property/Plant/Equipment, Total - Net",270.67,261.76,130.13,207.08,177.10
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0.49,0.47,0.47,0.00,0.20
Long Term Investments,229.96,236.45,236.29,207.61,205.72
Total Assets,1051.03,933.51,721.76,621.17,573.04
Accounts Payable,57.00,0,0,0,0
Accrued Expenses,6.10,0,0,0,0
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0
"Other Current liabilities, Total",92.09,8.92,18.10,7.60,13.05
Total Current Liabilities,397.84,584.35,298.22,179.12,139.42
Total Long Term Debt,146.32,18.75,123.39,166.43,160.54
Total Debt,388.96,344.09,330.23,268.42,227.03
Deferred Income Tax,7.90,8.41,10.64,9.38,10.90
"Other Liabilities, Total",34.60,27.71,9.63,31.21,24.97
Total Liabilities,680.67,730.75,515.38,398.61,345.34
"Common Stock, Total",139.85,174.34,174.34,174.34,174.34
Retained Earnings (Accumulated Deficit),134.32,28.43,32.05,48.23,53.36
Treasury Stock - Common,-1.76,0,0,0,0
Unrealised Gain (Loss),0.00,0,0,0,0
"Other Equity, Total",97.95,0,0,0,0
Total Equity,370.36,202.77,206.38,222.56,227.70
Total Liabilities & Shareholders' Equity,1051.03,933.51,721.76,621.17,573.04
Total Common Shares Outstanding,600.69,692.49,692.49,692.49,692.49
"Tangible Book Value per Share, Common Eq",0.62,0.29,0.30,0.32,0.33
