Fiscal Year,2017,2018,2019,2020,2021
Period Ended,30 Apr 2017,30 Apr 2018,30 Apr 2019,30 Apr 2020,30 Apr 2021
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,PRESS
Revenue,184.62,161.75,281.74,146.50,162.85
Total Revenue,184.62,161.75,281.74,146.50,162.85
"Selling/General/Admin. Expenses, Total",44.72,54.10,39.03,52.62,31.38
Depreciation/Amortisation,0,0,0,0,0.26
Unusual Expense (Income),-52.23,6.49,0.46,-46.05,2.62
"Other Operating Expenses, Total",36.89,77.78,7.41,7.68,-2.54
Total Operating Expense,143.81,249.59,252.54,116.52,148.06
Operating Income,40.81,-87.84,29.20,29.98,14.80
"Interest Inc.(Exp.),Net-Non-Op., Total",-15.31,-8.37,-3.21,-16.82,-8.92
"Other, Net",-0.13,-0.01,-0.04,-0.15,0
Net Income Before Taxes,25.37,-96.22,25.96,13.00,5.87
Provision for Income Taxes,4.90,-1.13,8.17,-2.58,2.59
Net Income After Taxes,20.47,-95.09,17.78,15.59,3.28
Net Income Before Extra. Items,3.42,-90.68,4.73,5.15,3.15
Net Income,3.42,-88.69,7.76,5.47,3.15
Income Available to Com Excl ExtraOrd,3.42,-90.68,4.73,5.15,3.15
Income Available to Com Incl ExtraOrd,3.42,-88.69,7.76,5.47,3.15
Diluted Net Income,3.42,-88.69,7.76,5.47,3.15
Diluted Weighted Average Shares,581.68,677.70,692.49,692.49,692.49
Diluted EPS Excluding ExtraOrd Items,0.01,-0.13,0.01,0.01,0.00
DPS - Common Stock Primary Issue,0.02,0.00,0.00,0.00,0.00
Diluted Normalised EPS,-0.03,-0.06,0.01,-0.04,0.01
