Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,0,0,0,0,0
Short Term Investments,0,0,0,0,0
Cash and Short Term Investments,6.91,3.18,2.95,2.89,7.66
"Accounts Receivable - Trade, Net",0.94,1.08,1.65,2.89,2.45
"Total Receivables, Net",1.76,1.84,2.32,3.37,3.04
Prepaid Expenses,0.15,0.16,0.27,0.33,0.17
"Other Current Assets, Total",0.45,0.93,0.71,0.86,0.82
Total Current Assets,9.58,6.40,6.50,7.71,11.95
"Property/Plant/Equipment, Total - Gross",0,0,0,0,0
"Accumulated Depreciation, Total",0,0,0,0,0
"Property/Plant/Equipment, Total - Net",7.69,5.41,3.98,8.81,2.39
"Goodwill, Net",1.52,1.52,0.52,0.52,0.52
"Intangibles, Net",0.02,0.00,0.00,0,0
Long Term Investments,1.66,1.71,1.84,2.01,1.93
Total Assets,21.21,15.79,12.99,19.17,16.80
Accounts Payable,1.10,1.61,1.17,1.29,1.05
Accrued Expenses,0,0,0,0,0
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",3.71,3.25,3.17,2.95,3.07
Total Current Liabilities,6.28,5.68,4.96,5.75,5.49
Total Long Term Debt,1.52,0.71,3.09,9.03,2.66
Total Debt,3.00,1.52,3.71,10.54,4.03
Deferred Income Tax,0.02,0.02,0.02,0.02,0.02
"Other Liabilities, Total",0,0.24,0.55,0.55,0.59
Total Liabilities,7.83,6.65,8.62,15.36,8.76
"Common Stock, Total",24.76,24.76,24.76,24.76,33.28
Retained Earnings (Accumulated Deficit),-11.38,-15.62,-20.38,-20.94,-25.24
Treasury Stock - Common,-0.00,-0.00,-0.00,-0.00,-0.00
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",0,0,0,0,0
Total Equity,13.38,9.14,4.38,3.81,8.04
Total Liabilities & Shareholders' Equity,21.21,15.79,12.99,19.17,16.80
Total Common Shares Outstanding,416.10,416.10,416.10,416.09,1119.62
"Tangible Book Value per Share, Common Eq",0.03,0.02,0.01,0.01,0.01
