Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,0,0,0,0,0
Short Term Investments,0,0,0,0,0
Cash and Short Term Investments,2.72,4.80,4.58,2.31,0.26
"Accounts Receivable - Trade, Net",9.34,9.98,5.10,4.20,0.10
"Total Receivables, Net",9.82,9.98,5.15,4.25,0.10
Prepaid Expenses,0.57,0.36,0.14,0.25,0.03
"Other Current Assets, Total",0.00,0,0,2.79,19.19
Total Current Assets,15.61,18.63,13.45,10.65,19.57
"Property/Plant/Equipment, Total - Gross",0,0,0,0,0
"Accumulated Depreciation, Total",0,0,0,0,0
"Property/Plant/Equipment, Total - Net",1.85,2.01,6.89,7.19,0.00
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0.05,0.06,4.29,2.88,0.06
Long Term Investments,0,0.00,0.00,0,0
Total Assets,17.59,20.76,24.62,20.72,19.63
Accounts Payable,0,13.78,12.78,11.99,11.89
Accrued Expenses,0,0,0,0,0
Notes Payable/Short Term Debt,0.00,0.00,0.74,0.60,0.00
"Other Current liabilities, Total",1.48,2.12,2.43,5.82,9.65
Total Current Liabilities,15.55,15.91,16.67,19.08,21.54
Total Long Term Debt,2.84,0.00,0.73,0.52,0.00
Total Debt,7.88,0.01,2.19,1.79,0.00
Deferred Income Tax,0.00,0.00,0.17,0.44,0.00
"Other Liabilities, Total",0,0.00,1.74,0.00,0
Total Liabilities,17.73,15.15,18.51,19.15,21.54
"Common Stock, Total",130.97,142.35,148.84,148.84,148.84
Retained Earnings (Accumulated Deficit),-131.38,-135.41,-141.45,-146.00,-150.80
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",1.50,-0.11,-0.04,-0.04,0.06
Total Equity,-0.15,5.61,6.12,1.57,-1.90
Total Liabilities & Shareholders' Equity,17.59,20.76,24.62,20.72,19.63
Total Common Shares Outstanding,4868.93,15824.13,22324.13,22324.13,22324.13
"Tangible Book Value per Share, Common Eq",-0.00,0.00,0.00,-0.00,-0.00
