Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,26.56,18.87,12.19,0.00,0.00
Total Revenue,26.56,18.87,12.19,0.00,0.00
"Selling/General/Admin. Expenses, Total",7.58,7.67,4.26,3.46,2.26
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),0.02,0,0,0,0
"Other Operating Expenses, Total",0,0,0.09,0.01,0.07
Total Operating Expense,28.97,20.96,13.26,3.49,2.33
Operating Income,-2.41,-2.10,-1.07,-3.49,-2.33
"Interest Inc.(Exp.),Net-Non-Op., Total",-0.41,-0.39,-0.23,-0.24,-0.23
"Other, Net",0,0,0,0,0
Net Income Before Taxes,-2.82,-2.48,-1.30,-3.73,-2.56
Provision for Income Taxes,-0.01,0.27,0.35,0.00,-0.00
Net Income After Taxes,-2.81,-2.75,-1.65,-3.73,-2.56
Net Income Before Extra. Items,-2.75,-2.67,-1.61,-3.64,-3.45
Net Income,-2.75,-5.53,-6.04,-4.55,-4.80
Income Available to Com Excl ExtraOrd,-2.75,-2.67,-1.61,-3.64,-3.45
Income Available to Com Incl ExtraOrd,-2.75,-5.53,-6.04,-4.55,-4.80
Diluted Net Income,-2.75,-5.53,-6.04,-4.55,-4.80
Diluted Weighted Average Shares,4868.93,10871.79,16322.76,22324.13,22324.13
Diluted EPS Excluding ExtraOrd Items,-0.00,-0.00,-0.00,-0.00,-0.00
DPS - Common Stock Primary Issue,0,0,0,0,0
Diluted Normalised EPS,-0.00,-0.00,-0.00,-0.00,-0.00
