Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,66.74,81.88,90.09,77.83,64.22
Total Revenue,66.74,81.88,90.09,77.83,64.22
"Selling/General/Admin. Expenses, Total",46.58,57.05,65.62,62.13,61.92
Depreciation/Amortisation,4.25,4.61,5.22,11.72,9.20
Unusual Expense (Income),1.34,-0.15,0.35,4.45,-2.07
"Other Operating Expenses, Total",10.61,11.65,11.60,6.61,2.20
Total Operating Expense,62.58,73.57,81.56,86.34,70.23
Operating Income,4.16,8.31,8.53,-8.50,-6.01
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0,0,0,0
"Other, Net",0,0,0,0,0
Net Income Before Taxes,4.16,8.31,8.53,-8.50,-6.01
Provision for Income Taxes,-0.92,1.39,2.71,-0.65,-0.16
Net Income After Taxes,5.08,6.92,5.83,-7.85,-5.86
Net Income Before Extra. Items,4.28,5.67,3.26,-7.66,-7.41
Net Income,4.28,5.67,3.26,-7.66,-7.41
Income Available to Com Excl ExtraOrd,4.28,5.67,3.26,-7.66,-7.41
Income Available to Com Incl ExtraOrd,4.28,5.67,3.26,-7.66,-7.41
Diluted Net Income,4.28,5.67,3.26,-7.66,-7.41
Diluted Weighted Average Shares,282.41,298.84,305.69,318.90,325.33
Diluted EPS Excluding ExtraOrd Items,0.02,0.02,0.01,-0.02,-0.02
DPS - Common Stock Primary Issue,0,0,0,0,0
Diluted Normalised EPS,0.02,0.02,0.01,-0.01,-0.03
