Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,0,0,0,0,0
Short Term Investments,0,0,0,0,0
Cash and Short Term Investments,19.59,20.32,15.96,19.42,13.13
"Accounts Receivable - Trade, Net",56.11,74.62,96.52,64.69,42.53
"Total Receivables, Net",57.20,75.86,97.35,65.31,42.77
Prepaid Expenses,0.91,1.45,1.15,0.41,0.65
"Other Current Assets, Total",6.51,4.88,6.76,4.07,3.41
Total Current Assets,84.21,102.51,121.22,89.21,59.96
"Property/Plant/Equipment, Total - Gross",0,0,0,0,0
"Accumulated Depreciation, Total",0,0,0,0,0
"Property/Plant/Equipment, Total - Net",7.11,6.66,6.57,17.20,10.97
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",64.16,59.97,62.85,36.26,33.13
Long Term Investments,0.07,0.58,13.29,15.00,15.37
Total Assets,168.30,188.51,213.19,199.47,185.28
Accounts Payable,0,0,0,0,0
Accrued Expenses,0,0,0,0,0
Notes Payable/Short Term Debt,0.00,37.03,0.00,43.41,39.32
"Other Current liabilities, Total",8.95,9.34,10.05,5.42,5.25
Total Current Liabilities,62.17,71.24,91.62,76.16,67.91
Total Long Term Debt,7.47,1.83,3.58,10.96,10.53
Total Debt,40.74,46.11,59.71,61.22,58.46
Deferred Income Tax,1.76,1.77,1.83,1.47,1.37
"Other Liabilities, Total",0.06,0.11,0.13,0.24,0.23
Total Liabilities,72.70,77.22,97.71,87.20,80.62
"Common Stock, Total",68.69,82.59,84.13,94.33,95.01
Retained Earnings (Accumulated Deficit),19.28,25.88,29.00,19.59,11.22
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,-0.03,-1.30,-2.02,-2.02
"Other Equity, Total",7.63,2.86,3.64,0.38,0.44
Total Equity,95.60,111.29,115.47,112.27,104.65
Total Liabilities & Shareholders' Equity,168.30,188.51,213.19,199.47,185.28
Total Common Shares Outstanding,282.75,299.42,301.57,324.25,325.95
"Tangible Book Value per Share, Common Eq",0.11,0.17,0.17,0.23,0.22
