Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Sep 2016,30 Sep 2017,30 Sep 2018,30 Sep 2019,30 Sep 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,-8.80,-10.83,-34.02,2.81,5.22
Depreciation/Depletion,5.61,5.94,5.22,4.25,4.91
Non-Cash Items,0.64,0.54,0.53,0.84,0.29
Cash Taxes Paid,0.05,0.24,-0.23,-0.01,-0.00
Changes in Working Capital,2.01,-1.05,32.52,-0.95,-4.25
Cash from Operating Activities,-0.54,-5.40,4.24,6.95,6.17
Capital Expenditures,-0.70,-2.48,-7.84,-0.37,-0.22
"Other Investing Cash Flow Items, Total",0.09,0.20,0.10,0.02,0.01
Cash from Investing Activities,-0.61,-2.28,-7.74,-0.35,-0.21
Total Cash Dividends Paid,-1.45,-1.45,0,0,-0.73
"Issuance (Retirement) of Stock, Net",0.00,0,0,0,0
Cash from Financing Activities,-6.77,11.89,-5.03,-10.86,1.47
Foreign Exchange Effects,0,0,0,0,0
Net Change in Cash,-7.91,4.22,-8.52,-4.25,7.43
