Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Sep 2016,30 Sep 2017,30 Sep 2018,30 Sep 2019,30 Sep 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,68.76,76.92,82.25,91.58,86.76
Total Revenue,68.76,76.92,82.25,91.58,86.76
"Selling/General/Admin. Expenses, Total",13.30,12.06,10.91,11.16,8.39
Depreciation/Amortisation,5.61,5.94,5.22,4.25,4.91
Unusual Expense (Income),0.00,0.02,0,0,0.00
"Other Operating Expenses, Total",4.16,3.33,30.99,-0.35,-2.41
Total Operating Expense,77.56,87.75,116.27,88.77,81.54
Operating Income,-8.80,-10.83,-34.02,2.81,5.22
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0,0,0,0
"Other, Net",0,0,0,0,0
Net Income Before Taxes,-8.80,-10.83,-34.02,2.81,5.22
Provision for Income Taxes,-1.23,-1.45,-1.71,0.01,-0.05
Net Income After Taxes,-7.58,-9.38,-32.32,2.81,5.27
Net Income Before Extra. Items,-7.58,-9.38,-32.32,2.81,5.27
Net Income,-7.58,-9.38,-32.32,2.81,5.27
Income Available to Com Excl ExtraOrd,-7.58,-9.38,-32.32,2.81,5.27
Income Available to Com Incl ExtraOrd,-7.58,-9.38,-32.32,2.81,5.27
Diluted Net Income,-7.58,-9.38,-32.32,2.81,5.27
Diluted Weighted Average Shares,290.40,290.40,290.40,290.40,290.40
Diluted EPS Excluding ExtraOrd Items,-0.03,-0.03,-0.11,0.01,0.02
DPS - Common Stock Primary Issue,0.01,0,0,0.00,0.01
Diluted Normalised EPS,-0.03,-0.03,-0.11,0.01,0.02
