Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,-2.05,-1.91,0.81,3.48,7.92
Depreciation/Depletion,0.84,0.81,0.75,1.92,1.80
Non-Cash Items,-0.12,0.55,-0.62,-0.41,-3.41
Cash Taxes Paid,0.04,0.16,0.23,0.12,0.14
Changes in Working Capital,0.83,5.50,0.80,-6.41,2.92
Cash from Operating Activities,-0.50,4.96,1.74,-1.42,9.23
Capital Expenditures,-0.09,-0.38,-0.30,-0.65,-0.15
"Other Investing Cash Flow Items, Total",0.13,-0.12,0.68,0.81,5.02
Cash from Investing Activities,0.04,-0.50,0.39,0.16,4.87
Total Cash Dividends Paid,0,0,0,-0.43,-0.42
"Issuance (Retirement) of Stock, Net",-0.04,0,0,0,0
Cash from Financing Activities,0.10,0.22,-0.81,-2.49,-4.72
Foreign Exchange Effects,-0.27,0.43,-0.36,-0.04,0.41
Net Change in Cash,-0.63,5.12,0.95,-3.79,9.79
