Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,184.95,207.15,218.75,204.91,262.93
Total Revenue,184.95,207.15,218.75,204.91,262.93
"Selling/General/Admin. Expenses, Total",18.42,17.28,18.00,16.94,17.01
Depreciation/Amortisation,0.84,0.81,0.75,1.92,1.80
Unusual Expense (Income),0.00,-0.03,-0.01,-0.02,-4.13
"Other Operating Expenses, Total",5.66,6.46,6.37,2.89,3.35
Total Operating Expense,187.00,209.06,217.94,201.43,255.01
Operating Income,-2.05,-1.91,0.81,3.48,7.92
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0,0,0,0
"Other, Net",0,0,0,0,0
Net Income Before Taxes,-2.05,-1.91,0.81,3.48,7.92
Provision for Income Taxes,0.27,0.22,0.18,0.37,0.28
Net Income After Taxes,-2.32,-2.12,0.63,3.11,7.64
Net Income Before Extra. Items,-2.47,-1.22,1.48,2.53,6.33
Net Income,-2.47,-1.22,1.48,2.53,6.33
Income Available to Com Excl ExtraOrd,-2.47,-1.22,1.48,2.53,6.33
Income Available to Com Incl ExtraOrd,-2.47,-1.22,1.48,2.53,6.33
Diluted Net Income,-2.47,-1.22,1.48,2.53,6.33
Diluted Weighted Average Shares,58.48,58.48,58.48,58.48,58.48
Diluted EPS Excluding ExtraOrd Items,-0.04,-0.02,0.03,0.04,0.11
DPS - Common Stock Primary Issue,0,0.00,0.01,0.01,0.00
Diluted Normalised EPS,-0.04,-0.02,0.03,0.04,0.04
