Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,27.43,132.02,189.29,205.79,240.12
Total Revenue,27.43,132.02,189.29,205.79,240.12
"Selling/General/Admin. Expenses, Total",3.47,25.38,37.25,36.93,37.98
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),0.00,1.48,0.00,0,0.25
"Other Operating Expenses, Total",0.90,0.01,-8.36,3.17,3.08
Total Operating Expense,22.04,99.52,114.91,147.75,171.44
Operating Income,5.39,32.50,74.38,58.03,68.69
"Interest Inc.(Exp.),Net-Non-Op., Total",-0.46,-17.64,-36.72,-29.29,-26.22
"Other, Net",0.00,-0.82,-0.92,-2.46,-2.43
Net Income Before Taxes,4.94,14.04,36.74,26.28,40.04
Provision for Income Taxes,1.70,6.38,11.50,9.32,3.43
Net Income After Taxes,3.24,7.66,25.25,16.97,36.61
Net Income Before Extra. Items,3.14,7.59,25.17,16.63,35.01
Net Income,3.14,7.59,25.17,16.63,35.01
Income Available to Com Excl ExtraOrd,3.14,7.59,25.17,16.63,35.01
Income Available to Com Incl ExtraOrd,3.14,7.59,25.17,16.63,35.01
Diluted Net Income,3.14,7.59,25.17,16.63,35.01
Diluted Weighted Average Shares,2706.57,2811.32,3501.96,4211.25,4206.73
Diluted EPS Excluding ExtraOrd Items,0.00,0.00,0.01,0.00,0.01
DPS - Common Stock Primary Issue,0,0,0,0,0
Diluted Normalised EPS,0.00,0.00,0.01,0.00,0.01
