Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,49.14,157.64,115.19,70.32,66.72
Depreciation/Depletion,4.95,5.11,7.21,10.84,18.12
Non-Cash Items,0.29,5.01,16.49,25.90,28.79
Cash Taxes Paid,3.73,15.55,101.47,44.21,21.86
Changes in Working Capital,-25.54,-7.76,-118.22,-27.52,-20.46
Cash from Operating Activities,53.83,168.93,24.29,85.53,110.06
Capital Expenditures,-8.64,-15.69,-19.44,-30.02,-20.37
"Other Investing Cash Flow Items, Total",-17.12,-40.84,-147.70,-20.08,-55.35
Cash from Investing Activities,-25.75,-56.53,-167.13,-50.11,-75.72
Total Cash Dividends Paid,0.00,-17.78,-41.71,-5.00,0.00
"Issuance (Retirement) of Stock, Net",84.18,0,0,0,0
Cash from Financing Activities,4.12,-3.53,62.77,30.96,45.73
Foreign Exchange Effects,2.39,0.77,4.49,-1.73,4.96
Net Change in Cash,34.59,109.63,-75.59,64.64,85.04
