Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,Interim Report,ARS,ARS,ARS,ARS
Cash,65.79,179.95,77.13,157.79,205.16
Short Term Investments,0,1.02,2.00,0.00,1.93
Cash and Short Term Investments,79.08,189.72,115.11,177.76,264.72
"Accounts Receivable - Trade, Net",45.10,99.87,104.96,118.56,117.18
"Total Receivables, Net",79.05,133.74,124.89,136.10,139.64
Prepaid Expenses,0,0,0,0,7.25
"Other Current Assets, Total",1.55,91.49,139.88,115.15,93.74
Total Current Assets,226.71,431.09,399.52,452.29,576.54
"Property/Plant/Equipment, Total - Gross",101.89,118.01,117.03,187.15,253.77
"Accumulated Depreciation, Total",-29.70,-38.27,-33.27,-54.70,-72.01
"Property/Plant/Equipment, Total - Net",161.03,165.59,311.41,364.36,584.61
"Goodwill, Net",103.71,103.68,113.74,106.75,98.20
"Intangibles, Net",12.48,11.90,11.19,10.76,12.22
Long Term Investments,0.01,23.34,57.70,115.11,52.66
Total Assets,521.87,753.08,960.83,1109.49,1394.49
Accounts Payable,35.56,108.93,149.21,170.94,162.71
Accrued Expenses,9.60,22.13,28.12,49.76,83.90
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",25.64,66.30,27.65,19.95,44.21
Total Current Liabilities,73.06,222.56,251.15,303.38,404.34
Total Long Term Debt,47.39,69.77,222.86,260.42,268.48
Total Debt,49.66,94.98,269.03,323.16,381.99
Deferred Income Tax,13.08,13.01,29.54,31.35,80.40
"Other Liabilities, Total",4.13,4.68,39.01,35.22,63.74
Total Liabilities,225.39,407.35,647.58,750.16,1009.61
"Common Stock, Total",316.25,305.53,305.53,305.53,305.53
Retained Earnings (Accumulated Deficit),31.06,86.16,56.16,103.04,107.81
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",-50.84,-45.96,-48.43,-49.23,-28.47
Total Equity,296.47,345.73,313.26,359.34,384.87
Total Liabilities & Shareholders' Equity,521.87,753.08,960.83,1109.49,1394.49
Total Common Shares Outstanding,2353.10,2353.10,2353.10,2353.10,2353.10
"Tangible Book Value per Share, Common Eq",0.08,0.10,0.08,0.10,0.12
