Fiscal Year,2017,2018,2019,2020,2021
Period Ended,30 Apr 2017,30 Apr 2018,30 Apr 2019,30 Apr 2020,30 Apr 2021
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,PRESS
Revenue,90.15,72.83,67.15,53.96,64.20
Total Revenue,90.15,72.83,67.15,53.96,64.20
"Selling/General/Admin. Expenses, Total",28.79,24.09,19.64,20.26,16.91
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),-1.28,-0.02,-0.54,0.17,0.78
"Other Operating Expenses, Total",-2.87,-3.08,-1.99,-2.53,-3.78
Total Operating Expense,93.00,76.06,67.34,59.41,62.30
Operating Income,-2.84,-3.23,-0.19,-5.44,1.90
"Interest Inc.(Exp.),Net-Non-Op., Total",1.16,-1.36,-0.84,-2.86,-0.46
"Other, Net",0,0,0,0,0
Net Income Before Taxes,-1.69,-4.59,-1.03,-8.30,1.44
Provision for Income Taxes,0.28,-0.59,0.34,0.03,1.17
Net Income After Taxes,-1.97,-4.00,-1.37,-8.33,0.27
Net Income Before Extra. Items,-1.07,-3.51,-1.35,-8.16,0.94
Net Income,-1.07,-3.51,-3.34,-10.94,0.94
Income Available to Com Excl ExtraOrd,-1.07,-3.51,-1.35,-8.16,0.94
Income Available to Com Incl ExtraOrd,-1.07,-3.51,-3.34,-10.94,0.94
Diluted Net Income,-1.07,-3.51,-3.34,-10.94,0.94
Diluted Weighted Average Shares,111.28,111.28,109.77,109.28,109.28
Diluted EPS Excluding ExtraOrd Items,-0.01,-0.03,-0.01,-0.07,0.01
DPS - Common Stock Primary Issue,0.01,0.00,0,0,0
Diluted Normalised EPS,-0.00,-0.03,-0.02,-0.07,0.01
