Fiscal Year,2017,2018,2019,2020,2021
Period Ended,30 Apr 2017,30 Apr 2018,30 Apr 2019,30 Apr 2020,30 Apr 2021
Source,ARS,Interim Report,ARS,ARS,PRESS
Cash,18.56,0,0,0,0
Short Term Investments,7.06,0,0,0,0
Cash and Short Term Investments,25.62,24.00,23.55,14.16,7.66
"Accounts Receivable - Trade, Net",27.32,21.36,29.96,19.41,33.10
"Total Receivables, Net",27.33,21.47,29.99,19.47,33.11
Prepaid Expenses,0.31,0.32,0.42,0.47,0.18
"Other Current Assets, Total",0,0,0,0,0
Total Current Assets,83.81,79.06,81.46,63.75,63.13
"Property/Plant/Equipment, Total - Gross",80.28,0,0,0,0
"Accumulated Depreciation, Total",-11.57,0,0,0,0
"Property/Plant/Equipment, Total - Net",68.71,64.14,59.53,57.48,52.65
"Goodwill, Net",9.39,0,0,0,0
"Intangibles, Net",2.65,11.30,10.56,8.80,8.71
Long Term Investments,0.72,0.75,0.66,0.43,0.35
Total Assets,167.34,155.94,152.25,130.95,125.33
Accounts Payable,0,0,0,0,0
Accrued Expenses,0,0,0,0,0
Notes Payable/Short Term Debt,32.22,31.87,20.71,17.02,12.68
"Other Current liabilities, Total",0.06,0.01,0.42,0.65,2.11
Total Current Liabilities,58.91,53.17,46.77,36.56,31.66
Total Long Term Debt,39.23,39.50,47.25,45.24,46.82
Total Debt,74.05,73.85,70.52,65.39,63.21
Deferred Income Tax,0.75,0.38,0.24,0.59,0.14
"Other Liabilities, Total",0.26,0.14,0.25,0.20,0.01
Total Liabilities,100.96,94.50,95.16,82.76,78.22
"Common Stock, Total",39.78,39.78,39.78,39.78,39.78
Retained Earnings (Accumulated Deficit),37.67,24.45,20.60,11.70,10.63
Treasury Stock - Common,-2.79,-2.79,-3.29,-3.29,-3.29
Unrealised Gain (Loss),0.00,0,0,0,0
"Other Equity, Total",-8.28,0,0,0,0
Total Equity,66.38,61.44,57.09,48.19,47.11
Total Liabilities & Shareholders' Equity,167.34,155.94,152.25,130.95,125.33
Total Common Shares Outstanding,111.28,111.28,109.28,109.28,109.28
"Tangible Book Value per Share, Common Eq",0.49,0.45,0.43,0.36,0.35
