Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,PROSPECTUS,ARS,ARS,ARS,ARS
Cash,17.75,48.97,43.02,32.02,35.12
Short Term Investments,0,0,0,0,0
Cash and Short Term Investments,17.75,61.97,43.02,32.02,35.12
"Accounts Receivable - Trade, Net",47.81,59.59,51.97,68.05,89.57
"Total Receivables, Net",48.27,70.54,63.06,80.96,103.21
Prepaid Expenses,0.27,0.52,2.60,1.99,2.89
"Other Current Assets, Total",0.90,0.93,0.79,0.72,0.89
Total Current Assets,67.18,133.96,109.46,115.69,142.11
"Property/Plant/Equipment, Total - Gross",2.70,2.63,2.93,10.05,83.04
"Accumulated Depreciation, Total",-1.26,-1.41,-1.85,-3.32,-5.41
"Property/Plant/Equipment, Total - Net",1.44,1.22,1.08,6.73,77.63
"Goodwill, Net",74.99,74.99,74.99,74.99,75.12
"Intangibles, Net",26.33,25.39,24.46,23.53,22.60
Long Term Investments,0,0.02,72.81,73.80,3.43
Total Assets,170.34,235.99,283.20,295.14,321.28
Accounts Payable,0,0,0,0,0
Accrued Expenses,5.39,7.93,5.14,6.75,8.68
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",7.75,8.53,9.70,7.18,7.60
Total Current Liabilities,74.79,98.48,81.19,90.42,111.94
Total Long Term Debt,12.00,0.00,54.62,55.08,50.56
Total Debt,18.00,0.00,57.52,59.66,55.33
Deferred Income Tax,4.67,4.49,4.29,4.19,4.20
"Other Liabilities, Total",0,0,0,0,0
Total Liabilities,91.46,102.97,140.14,149.61,166.53
"Common Stock, Total",70.70,98.95,98.95,98.95,98.95
Retained Earnings (Accumulated Deficit),8.18,34.08,44.12,46.59,55.92
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",-0.00,-0.00,-0.00,-0.00,-0.11
Total Equity,78.88,133.03,143.06,145.53,154.75
Total Liabilities & Shareholders' Equity,170.34,235.99,283.20,295.14,321.28
Total Common Shares Outstanding,355.20,355.20,355.20,355.20,355.20
"Tangible Book Value per Share, Common Eq",-0.06,0.09,0.12,0.13,0.16
