Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,46.39,31.77,23.77,11.05,19.08
Short Term Investments,0.59,0.35,0.45,0.04,3.05
Cash and Short Term Investments,51.21,39.73,31.18,18.06,22.13
"Accounts Receivable - Trade, Net",10.36,18.61,17.68,28.93,18.75
"Total Receivables, Net",111.07,83.48,59.14,70.62,39.24
Prepaid Expenses,2.83,2.55,1.83,0,1.11
"Other Current Assets, Total",1.77,0.39,32.97,0.00,1.23
Total Current Assets,167.76,126.50,125.52,89.48,64.44
"Property/Plant/Equipment, Total - Gross",751.63,709.45,583.15,589.87,576.77
"Accumulated Depreciation, Total",-137.86,-320.35,-298.80,-346.40,-367.47
"Property/Plant/Equipment, Total - Net",613.77,389.11,284.35,243.47,209.30
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0.30,0.16,0.16,0.15,0.14
Long Term Investments,60.35,18.19,6.44,3.06,0.00
Total Assets,904.33,574.12,468.75,387.83,329.29
Accounts Payable,13.33,17.71,15.72,17.18,12.64
Accrued Expenses,16.20,36.60,37.61,63.67,79.50
Notes Payable/Short Term Debt,17.66,18.08,18.69,19.26,19.66
"Other Current liabilities, Total",26.27,17.26,23.30,21.23,22.90
Total Current Liabilities,122.69,615.25,612.27,606.93,608.69
Total Long Term Debt,465.38,0.36,0.09,8.28,7.84
Total Debt,532.28,544.05,535.73,513.13,501.48
Deferred Income Tax,1.32,2.59,2.92,3.11,2.71
"Other Liabilities, Total",25.92,13.38,11.96,11.96,11.97
Total Liabilities,613.52,616.76,610.55,618.34,619.47
"Common Stock, Total",162.85,162.85,162.85,162.85,162.85
Retained Earnings (Accumulated Deficit),139.67,-201.87,-301.40,-389.60,-448.39
Treasury Stock - Common,-2.53,-2.53,-2.49,-2.29,-2.14
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",-9.18,-1.09,-0.77,-1.47,-2.51
Total Equity,290.81,-42.64,-141.80,-230.50,-290.18
Total Liabilities & Shareholders' Equity,904.33,574.12,468.75,387.83,329.29
Total Common Shares Outstanding,713.51,713.51,713.73,714.66,715.43
"Tangible Book Value per Share, Common Eq",0.41,-0.06,-0.20,-0.32,-0.41
