Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,-118.16,-340.52,-100.13,-82.31,-57.55
Depreciation/Depletion,31.45,29.96,18.42,16.72,15.54
Non-Cash Items,66.65,307.63,81.63,80.63,52.42
Cash Taxes Paid,2.89,2.26,0.99,0.90,1.04
Changes in Working Capital,-23.97,-19.98,-8.50,-15.54,-3.12
Cash from Operating Activities,-44.03,-22.91,-8.58,-0.50,7.28
Capital Expenditures,-126.26,-2.36,-1.53,-7.55,-4.82
"Other Investing Cash Flow Items, Total",71.45,13.93,5.70,10.41,2.54
Cash from Investing Activities,-54.82,11.57,4.17,2.85,-2.27
Total Cash Dividends Paid,-5.30,0,0,0,0
"Issuance (Retirement) of Stock, Net",-1.71,0,0,0,0
Cash from Financing Activities,102.37,1.38,-0.77,-14.57,-2.49
Foreign Exchange Effects,-0.20,0.19,-0.05,0.03,0.02
Net Change in Cash,3.33,-9.77,-5.23,-12.19,2.55
